"","MFCC.Overall.Standard.Deviation0","MFCC.Overall.Standard.Deviation1","MFCC.Overall.Standard.Deviation2","MFCC.Overall.Standard.Deviation3","MFCC.Overall.Standard.Deviation4","MFCC.Overall.Standard.Deviation5","MFCC.Overall.Standard.Deviation6","MFCC.Overall.Standard.Deviation7","MFCC.Overall.Standard.Deviation8","MFCC.Overall.Standard.Deviation9","MFCC.Overall.Standard.Deviation10","MFCC.Overall.Standard.Deviation11","MFCC.Overall.Standard.Deviation12","MFCC.Overall.Average0","MFCC.Overall.Average1","MFCC.Overall.Average2","MFCC.Overall.Average3","MFCC.Overall.Average4","MFCC.Overall.Average5","MFCC.Overall.Average6","MFCC.Overall.Average7","MFCC.Overall.Average8","MFCC.Overall.Average9","MFCC.Overall.Average10","MFCC.Overall.Average11","MFCC.Overall.Average12","CLASS"
"25",5.131,0.879,2.045,2.418,1.357,1.572,2.059,1.615,1.935,1.166,1.135,1.365,0.8733,-182.5,18.8,-0.4543,-0.7069,5.925,3.853,-2.203,4.082,-1.047,1.822,-1.581,0.2205,-0.686,0
"26",6.199,0.9027,2.292,2.959,1.317,1.768,2.246,1.666,2.379,1.192,0.9934,1.535,0.8952,-176.8,18.42,-1.608,-2.291,5.343,2.982,-2.781,4.791,-3.062,1.097,-0.3395,0.2254,-1.058,0
"27",7.176,1.321,2.757,2.931,1.402,1.443,2.023,2.298,1.98,1.325,1.218,1.277,0.8898,-208.3,20.22,4.667,4.509,4.468,4.079,1.119,0.4332,1.468,0.4081,-1.051,0.5497,-0.8752,0
"28",7.114,1.189,2.76,3.146,1.356,1.483,1.963,2.261,1.745,1.458,1.26,1.237,0.9148,-180.9,20.12,2.248,1.637,4.246,3.11,-0.3661,2.702,-0.8195,0.605,-0.3306,0.3136,-0.2724,0
"29",6.611,1.253,2.714,2.899,1.49,1.354,1.895,2.398,1.725,1.365,1.23,1.2,0.864,-224.3,19.95,3.774,3.387,4.801,4.018,1.014,1.348,0.2172,-0.03566,-0.9002,0.5933,-0.9479,0
"30",5.441,0.753,1.779,2.151,1.302,1.458,1.795,1.571,1.721,1.185,1.091,1.347,0.9186,-179.7,19.27,-0.7235,-2.123,4.754,2.131,-2.833,4.556,-3.191,0.7991,-0.4839,-0.7782,-0.5933,0
"31",4.553,0.8521,1.954,2.358,1.266,1.496,1.88,1.622,1.759,1.18,1.081,1.373,0.8565,-169.5,18.77,-1.253,-2.151,5.754,3.113,-2.941,4.779,-2.813,1.37,-0.7951,-0.07094,-0.8631,0
"32",3.887,0.698,1.45,1.429,1.418,1.527,1.526,1.632,1.198,1.218,1.269,1.196,1.066,-223.9,23.6,21.09,14.66,-7.263,-5.617,5.035,-3.887,6.305,0.8455,0.8802,-5.747,-0.07377,0
"33",6.461,0.9664,2.571,3.125,1.321,1.946,2.428,2.075,2.743,1.255,1.07,1.589,0.8655,-208.5,18.6,-0.09296,-0.615,5.205,3.513,-1.755,3.775,-1.693,1.185,-0.321,1.039,-0.7133,0
"34",4.934,0.962,2.134,2.668,1.324,1.755,2.081,1.597,2.097,1.113,1.065,1.56,0.8804,-186.5,18.79,-0.5323,-1.376,4.215,2.695,-1.397,4.826,-1.655,1.078,-0.23,-0.1602,-1.323,0
"35",6.952,1.187,2.609,2.928,1.437,1.613,2.086,2.052,1.976,1.268,1.139,1.333,0.9287,-183,19.45,1.127,0.4006,4.31,2.697,-1.16,2.842,-1.313,0.825,-0.4386,0.3252,-0.4003,0
"36",9.505,1.131,2.395,3.027,1.865,2.426,1.656,2.418,2.554,1.116,1.582,1.441,1.046,-238,21.82,17.49,11.57,-6.094,-4.329,4.325,-2.048,5.577,1.742,1.45,-4.224,-0.5337,0
"37",11.14,1.616,3.395,3.149,2.293,2.003,2.177,2.571,1.937,1.434,1.312,1.528,0.9468,-200.7,21.06,6.085,6.05,4.19,4.416,2.252,0.03985,1.726,-0.168,-0.8705,0.568,-0.7956,0
"38",6.855,0.9022,2.565,2.998,1.364,1.562,2.183,2.183,2.066,1.3,1.184,1.23,0.8993,-188,19.15,-0.03998,-0.2077,6.313,4.51,-1.647,4.668,-0.8,2.003,-1.241,0.3009,-0.9779,0
"39",4.824,1.456,1.65,1.833,1.79,1.51,1.516,1.493,1.341,1.161,1.158,1.44,0.953,-228.3,17.9,0.4027,-1.845,3.761,0.8581,-1.582,2.864,-1.151,1.022,0.0228,-0.4884,0.007667,0
"40",7.895,1.307,3.47,3.891,1.4,1.676,2.59,2.783,2.482,1.318,1.122,1.34,0.8413,-208.2,19.53,2.546,2.544,5.711,4.983,0.1654,2.447,0.5641,0.8753,-1.54,0.7515,-0.7278,0
"41",5.571,1.01,2.401,2.834,1.376,1.631,2.047,1.999,2.089,1.216,1.198,1.405,0.9573,-192.3,19.26,1.04,0.6465,5.138,3.781,-0.6355,3.446,-0.8534,0.9475,-0.6675,0.5152,-1.006,0
"42",5.59,0.9579,2.162,2.293,1.36,1.288,1.818,1.862,1.751,1.259,1.115,1.257,0.8693,-185.3,19.65,1.861,1.589,4.708,3.827,-0.2487,2.526,-0.7178,0.4884,-0.576,1.108,-0.6554,0
"43",12.64,1.942,3.699,3.464,1.989,1.77,2.091,3.015,2.011,1.306,1.191,1.314,0.9855,-217,20.59,6.782,6.682,3.157,4.031,3.012,-0.5064,2.637,-0.5376,-0.7806,0.5271,-0.6048,0
"44",10.26,1.768,2.533,2.701,1.813,1.266,1.885,1.732,1.734,1.212,1.092,1.164,0.8208,-227.3,18.95,2.911,1.344,3.959,2.732,0.3426,1.546,0.09263,0.0944,-0.4346,0.8306,-0.4606,0
"45",4.962,0.9488,2.137,2.717,1.345,1.772,2.102,1.592,2.152,1.183,1.127,1.442,0.9115,-176.8,18.89,-0.1188,-0.9374,4.227,2.428,-1.893,3.632,-1.77,1.291,-0.02542,0.5643,-0.2939,0
"46",7.808,1.099,2.906,3.348,1.333,1.613,2.314,2.34,2.313,1.286,1.133,1.279,0.9132,-195.2,18.75,-0.09577,-0.286,4.818,3.478,-1.157,4.131,-1.359,0.9859,-0.8564,0.1846,-0.9559,0
"47",9.676,1.199,3.847,4.354,1.396,1.88,3.2,2.767,3.037,1.373,1.262,1.348,0.9821,-230.8,18.94,2.535,2.023,3.888,3.57,0.2138,2.098,0.6393,1.037,0.5574,1.521,-0.4576,0
"48",10.58,1.255,2.047,1.916,1.765,1.83,1.582,1.623,1.41,1.353,1.388,1.448,0.9631,-179.1,19.14,-0.1843,-1.829,2.415,0.7954,-1.68,4.185,-2.787,0.5299,0.6834,-0.5033,-0.4254,1
"49",8.295,1.347,2.907,3.123,1.364,1.358,2.022,2.455,1.72,1.369,1.101,1.154,0.8994,-184.7,20.22,3.785,3.72,4.618,4.209,0.8918,1.456,0.7999,0.5541,-0.7736,0.6885,-1.006,0
"50",22.59,1.295,2.952,2.997,1.888,1.748,2.008,2.384,1.748,1.408,1.259,1.316,0.9589,-197.6,19.74,1.235,0.7108,4.656,3.393,-0.7674,3.429,-1.29,0.7878,-0.4659,0.2886,-0.9366,0
"51",6.954,1.019,1.988,2.328,1.426,1.831,1.465,2.124,1.713,1.17,1.334,1.259,0.994,-234,22.88,18.93,12.84,-6.652,-5.263,4.736,-2.543,5.15,0.6538,1.087,-5.328,-0.7915,0
"52",7.196,0.9938,2.557,3.037,1.323,1.794,2.233,2.059,2.176,1.211,1.124,1.481,0.9439,-176.2,18.71,-1.491,-2.195,5.624,2.847,-3.101,4.888,-1.937,2.064,-0.951,-0.2534,-0.2593,0
"53",6.597,1.191,2.967,3.405,1.377,1.692,2.417,2.3,2.246,1.284,1.181,1.262,0.9325,-202.6,19.7,1.938,1.486,5.217,4.188,0.4995,3.16,-0.9235,0.2146,-0.528,1.118,-0.6455,0
"54",7.071,1.156,2.778,3.097,1.463,1.622,2.166,2.336,2.151,1.272,1.144,1.351,0.9364,-186.1,19.3,0.9093,0.4262,4.639,3.408,-0.9749,3.433,-0.9406,0.9658,-0.6505,0.4018,-0.6316,0
"55",8.893,1.291,3.216,3.488,1.435,1.582,2.521,2.677,2.299,1.417,1.205,1.315,0.8821,-220.9,20.04,3.519,3.169,4.219,3.985,0.7552,1.679,0.3259,-0.09965,-1.019,0.3719,-0.9215,0
"56",4.656,0.9268,1.819,2.079,1.341,1.356,1.575,1.566,1.668,1.149,1.11,1.323,0.9244,-184.2,18.1,-2.271,-3.418,4.71,2.42,-2.266,5.786,-3.644,0.6274,-0.254,0.4166,-0.5431,0
"57",7.61,1.041,2.925,3.334,1.371,1.552,2.338,2.361,2.202,1.358,1.146,1.218,0.8693,-202.3,18.48,-0.6457,-0.709,6.522,4.518,-1.474,4.601,-0.8527,1.886,-1.472,0.7575,-0.6804,0
"58",8.409,1.238,2.328,2.293,1.681,1.472,1.902,1.813,1.643,1.311,1.171,1.387,0.901,-193.4,20.51,4.482,4.207,3.73,3.502,0.7176,0.4278,0.4413,-0.2176,-0.8628,0.4994,-0.5771,0
"59",180.6,5.758,2.096,2.383,1.804,2.092,1.737,1.683,2.048,1.233,1.308,1.747,1.08,-255.6,17.5,0.2452,-1.182,2.539,1,-1.273,3.541,-2.233,0.2691,0.3203,-0.487,-0.648,1
"60",5.553,0.8885,2.173,2.784,1.312,1.767,2.207,1.703,2.131,1.17,1.203,1.489,0.9526,-168.9,18.9,-0.6308,-1.764,3.954,2.092,-1.832,4.894,-2.141,1.015,-0.3593,-0.9626,-0.9555,0
"61",6.423,0.951,2.615,3.171,1.258,1.736,2.325,2.224,2.524,1.266,1.067,1.587,0.8264,-201.8,18.45,-0.3905,-0.9083,5.615,3.419,-1.992,4.091,-0.4788,2.307,-0.9073,0.353,-0.6742,0
"62",6.176,1.022,2.682,3.395,1.27,1.902,2.522,2.039,2.429,1.31,1.154,1.371,0.8273,-191.4,19.53,1.385,0.6963,4.43,2.956,-0.7035,3.279,-0.2104,1.411,-0.2788,0.2314,-0.7973,0
"63",5.645,1.394,1.526,1.763,1.693,1.438,1.383,1.372,1.477,1.163,0.9925,1.338,0.928,-229.6,17.6,0.2382,-2.144,4.149,0.9817,-1.784,2.678,-1.296,1.069,0.05398,-0.1539,0.1845,0
"64",6.569,1.247,2.914,3.22,1.459,1.639,2.257,2.339,2.247,1.309,1.151,1.282,0.9524,-194.8,19.17,1.941,1.925,4.994,4.482,0.2951,2.807,0.596,1.01,-0.7482,1.143,-0.8633,0
"65",9.122,1.621,3.048,2.717,2.115,2.017,1.684,2.701,1.625,1.27,1.305,1.42,1.061,-194.5,21.34,6.495,6.271,3.152,3.257,2.034,-0.4423,1.737,-0.2475,-1.022,-0.5299,-0.6138,0
"66",19.96,2.271,3.023,3.169,2.068,1.448,2.157,1.875,1.743,1.387,1.089,1.243,0.8764,-222.7,18.06,2.736,1.422,3.217,2.554,0.8497,1.091,0.9133,0.184,0.006305,1.389,-0.5708,0
"67",6.028,1.047,2.426,2.761,1.403,1.522,1.973,2.039,2.057,1.292,1.108,1.334,0.8498,-180.1,18.89,-0.4368,-1.021,4.623,2.891,-1.479,4.611,-1.589,1.317,-0.4102,0.0368,-0.799,0
"68",9.074,1.385,2.927,2.965,1.634,1.523,2.053,2.379,1.904,1.345,1.134,1.289,0.9307,-197.1,20.33,4.498,4.527,4.33,4.24,0.9903,0.2628,0.9642,0.1117,-0.9853,1.033,-0.8078,0
"69",7.098,1.316,2.682,2.759,1.498,1.38,1.714,2.299,1.691,1.344,1.157,1.261,0.9068,-222.6,20.36,4.283,3.846,4.834,4.044,0.519,0.9272,0.1939,0.1274,-1.009,0.4726,-0.8886,0
"70",8.259,1.366,2.931,2.946,1.752,1.641,1.911,2.496,1.788,1.366,1.16,1.334,0.9183,-188.8,20.52,4.2,4.146,4.99,4.066,0.3244,0.4564,0.7744,0.4637,-1.565,0.4715,-0.3622,0
"71",32.51,1.783,2.193,2.229,1.526,1.662,1.422,1.81,1.607,1.285,1.207,1.473,0.9697,-184.6,19.14,0.1246,-1.62,1.992,0.5248,-1.561,3.787,-2.773,0.249,0.6435,-0.6644,-0.3665,1
"72",7.056,1.294,2.644,2.748,1.489,1.392,1.751,2.238,1.667,1.241,1.046,1.28,0.8339,-180.3,20.47,3.835,3.601,4.269,3.995,1.149,1.648,0.4511,0.2055,-0.796,0.4875,-0.9666,0
"73",8.734,1.353,3.538,3.801,1.602,1.644,2.908,2.687,2.898,1.35,1.185,1.458,0.9918,-228,18.41,1.859,2.131,6.048,5.528,-0.1334,2.296,1.354,1.382,-1.283,1.612,-1.127,0
"74",4.78,0.8376,2.036,2.541,1.284,1.618,2.019,1.708,2.068,1.203,1.141,1.428,0.865,-177.9,18.26,-2.118,-3.082,5.753,2.987,-3.378,5.469,-3.089,1.715,-0.4632,0.03197,-0.9554,0
"75",5.823,0.8828,2.651,3.381,1.385,2.043,2.742,1.846,2.811,1.156,1.11,1.72,0.8278,-179.4,19.11,-0.2931,-1.569,4.676,2.25,-2.165,4.118,-2.598,0.6761,-0.4606,-0.6878,-0.8869,0
"76",5.327,1.008,1.972,2.388,1.441,1.672,1.914,1.632,1.923,1.091,1.145,1.415,1.085,-179.6,18.61,-0.703,-1.793,3.799,1.914,-2.541,3.469,-2.377,1.176,0.2356,0.9696,0.56,0
"77",7.828,1.323,2.659,2.749,1.412,1.36,2.058,2.179,1.808,1.357,1.164,1.235,0.878,-219.5,20.12,4.005,3.703,4.017,3.725,0.7244,1.206,0.9167,0.3976,-0.8579,0.2925,-0.9081,0
"78",7.258,1.151,2.763,3.003,1.337,1.43,1.849,2.349,1.802,1.442,1.204,1.207,0.8565,-223.1,19.92,3.083,2.746,5.25,3.856,0.9114,2.014,-0.1895,0.4424,-0.364,0.9979,-0.7678,0
"79",6.06,1.156,2.515,2.508,1.447,1.42,1.906,2.261,1.812,1.214,1.17,1.321,0.8617,-219.8,20.01,3.231,3.033,4.635,4.371,0.5668,2.05,0.1586,0.128,-0.9022,0.781,-0.9,0
"80",6.836,1.181,2.782,2.906,1.513,1.407,1.668,2.402,1.764,1.339,1.147,1.187,0.8745,-219.2,20.34,4.175,4.036,5.219,4.188,1.38,1.301,0.2995,-0.07754,-1.088,0.4892,-0.7879,0
"81",14.46,1.943,3.427,3.122,3.032,2.289,2.279,2.408,1.816,1.572,1.573,1.605,0.9644,-190.2,21.52,8.387,8.536,4.024,4.691,3.413,-2.024,2.953,-0.6388,-1.093,0.7577,-0.6035,0
"82",9.637,1.523,3.016,2.754,2.562,1.967,2.066,2.166,1.766,1.292,1.448,1.494,0.9045,-187.6,21.47,7.622,7.816,4.367,4.75,2.838,-1.399,2.635,-0.2313,-1.002,0.8254,-0.6595,0
"83",5.957,0.9091,2.338,2.864,1.341,1.736,2.245,1.661,2.042,1.229,1.191,1.337,0.9129,-180.7,19.77,0.9863,0.1552,4.757,2.952,-1.371,3.363,-1.654,1.082,0.1341,0.6094,-0.1835,0
"84",7.843,1.034,3.361,3.9,1.433,2.019,3.09,2.482,3.092,1.394,1.103,1.614,0.8639,-199.1,19.13,0.9545,0.85,5.576,4.257,-0.6652,3.384,-0.173,1.212,-1.091,0.579,-0.9352,0
"85",5.485,0.8612,2.141,2.784,1.326,1.762,2.271,1.587,2.327,1.17,1.034,1.5,0.8382,-178.5,18.93,-0.3482,-1.179,4.74,2.871,-2.117,3.985,-2.301,0.6562,-0.7309,0.08765,-0.6887,0
"86",5.6,0.9405,2.2,2.646,1.294,1.635,2.078,1.803,1.996,1.126,1.074,1.337,0.9041,-174.4,18.33,-1.601,-2.007,5.354,3.065,-2.732,4.669,-1.866,1.757,-0.6161,0.1129,-0.5613,0
"87",52.51,2.105,1.859,1.887,1.532,1.813,1.477,1.431,1.627,1.261,1.078,1.528,0.916,-188.4,19.23,0.2423,-1.511,2.135,0.5935,-1.576,3.768,-2.78,0.2709,0.6587,-0.6847,-0.3411,1
"88",12,1.62,3.107,3.113,1.908,1.649,2.027,2.398,1.758,1.321,1.329,1.35,0.9499,-189.6,20.4,5.558,5.817,4.833,4.97,1.959,-0.08387,2.08,0.1837,-0.9737,1.247,-0.9274,0
"89",7.69,0.9963,3.424,3.958,1.363,2.05,3.075,2.543,3.062,1.345,1.128,1.563,0.9118,-197.8,19.22,1.352,1.226,5.235,4.266,-0.3207,3.356,-0.2711,1.006,-0.6635,0.7729,-1.159,0
"90",5.443,1.083,2.306,2.741,1.434,1.624,2.075,1.817,1.975,1.183,1.205,1.358,0.9108,-208.3,19.4,2.088,1.615,4.421,3.572,-0.07584,2.391,-0.4245,0.451,-0.2899,1.14,-0.4581,0
"91",122,2.994,2.793,2.859,1.695,1.511,1.966,2.277,1.955,1.185,1.114,1.355,0.9071,-214.5,19.36,1.774,0.1904,1.464,0.9412,0.6034,3.71,-1.913,-0.5697,0.9058,-0.8109,-0.5334,0
"92",8.133,1.465,3.149,3.324,1.604,1.679,2.401,2.554,2.265,1.308,1.2,1.383,0.933,-227.1,20.03,3.846,3.355,4.248,4.201,0.7652,1.521,0.04238,-0.417,-0.7771,0.824,-0.6623,0
"93",6.2,0.9923,2.732,3.209,1.425,1.74,2.455,2.35,2.66,1.38,1.112,1.612,0.9169,-202.8,18.42,-0.5261,-0.6957,5.746,3.975,-1.416,4.358,-0.5262,1.617,-1.413,0.212,-0.6715,0
"94",7.914,0.8969,2.661,3.255,1.32,1.814,2.665,1.893,2.636,1.211,1.02,1.536,0.9064,-194.1,19.11,0.2925,-0.6685,4.058,2.081,-1.781,3.453,-1.803,0.9641,-0.1889,-0.1212,-0.05045,0
"95",7.431,1.412,2.696,2.586,1.58,1.503,1.75,2.457,1.509,1.346,1.151,1.32,0.9122,-219.2,20.16,4.054,3.773,4.151,4.008,0.8042,1.152,0.6774,0.2003,-0.7332,0.8094,-0.7605,0
"96",5.526,1.504,1.928,1.904,1.575,1.349,1.519,1.39,1.416,1.118,1.1,1.251,0.9311,-232.9,17.53,-0.4281,-2.433,4.638,1.845,-1.505,3.661,-1.885,0.595,0.431,0.5056,-0.428,0
"97",166.1,5.414,2.653,2.933,1.923,2.133,2.036,2.195,2.213,1.332,1.381,1.796,1.142,-233.2,18.06,0.8164,-0.4485,2.602,1.425,-0.7387,3.409,-1.705,0.4409,0.4175,-0.2673,-0.5763,1
"98",4.863,0.7201,1.56,1.946,1.308,1.492,1.592,1.474,1.596,1.098,1.111,1.387,0.8678,-170.1,18.69,-2.27,-3.955,4.427,1.364,-3.573,6.153,-2.989,2.109,0.05639,-1.443,-0.9617,0
"99",6.621,1.832,2.223,2.415,1.502,1.222,1.582,1.738,1.476,1.238,1.057,1.187,0.8238,-230.3,19.38,3.268,1.468,4.101,2.592,0.2916,1.817,0.309,0.512,-0.4454,0.4164,-0.5618,0
"100",4.805,0.885,2.145,2.527,1.33,1.578,1.971,1.807,2.047,1.253,1.085,1.402,0.8663,-178.4,18.43,-1.598,-2.452,5.334,3.398,-2.542,5.361,-2.33,1.304,-0.6165,0.4952,-0.3641,0
"101",6.188,1.284,2.632,2.76,1.316,1.35,1.989,2.017,1.736,1.372,1.12,1.292,0.892,-183.3,19.63,2.352,2.13,5.059,4.048,-0.514,2.039,-0.5637,0.7294,-0.6883,1.056,-1.092,0
"102",8.725,1.43,2.809,2.682,1.995,1.771,1.878,2.257,1.707,1.312,1.207,1.475,0.921,-206.6,21.78,7.554,7.124,3.242,3.371,2.03,-1.576,1.635,-0.5196,-0.5927,0.1453,-0.397,0
"103",5.557,0.9558,2.305,2.647,1.4,1.458,1.865,1.939,2.018,1.206,1.18,1.272,0.8669,-184.9,19.23,-0.1028,-1.058,4.725,3.368,-0.8449,4.699,-2.381,0.5297,-0.1528,0.882,-0.4704,0
"104",5.186,0.6587,1.202,1.272,1.26,1.209,1.243,1.268,1.016,1.165,1.068,1.124,0.8809,-167,18.48,-2.92,-5.06,5.656,1.256,-5.455,5.61,-4.981,1.223,-1.029,-2.279,-0.6539,0
"105",7.339,1.017,2.907,3.277,1.309,1.474,2.18,2.496,2.198,1.227,1.088,1.154,0.8903,-187.9,19.14,0.03321,0.00338,6.375,4.631,-1.575,4.448,-0.8354,1.745,-1.488,0.3057,-0.7708,0
"106",4.945,0.9322,2.13,2.538,1.338,1.72,2.093,1.719,2.03,1.206,1.114,1.368,0.8781,-187.7,19.19,-0.07504,-0.7952,4.293,2.904,-1.081,4.795,-1.208,1.492,-0.2108,-0.1575,-1.042,0
"107",8.944,1.332,2.786,2.787,1.632,1.426,1.885,2.182,1.804,1.247,1.115,1.302,0.8297,-199.3,20.08,3.632,3.949,5.444,4.731,0.3459,0.9556,1.16,0.8039,-1.558,0.862,-0.6963,0
"108",5.235,0.9417,2.396,2.949,1.354,1.667,2.192,1.868,2.109,1.219,1.175,1.374,0.8994,-167.2,19.08,0.07323,-0.8087,4.683,3.356,-1.083,4.442,-1.999,0.4653,-0.4404,0.4715,-0.687,0
"109",8.369,1.489,3.226,3.377,1.623,1.697,2.28,2.629,2.269,1.232,1.189,1.384,0.9004,-226.7,20.11,3.697,3.373,4.239,4.069,0.6128,1.512,0.2879,-0.1742,-0.9574,0.4354,-0.6873,0
"110",5.461,1.013,2.237,2.657,1.358,1.652,2.092,1.79,2.112,1.181,1.12,1.384,0.8537,-189.3,18.77,-0.7099,-1.31,4.895,3.517,-0.975,4.974,-1.978,0.9125,-0.6649,0.412,-1.087,0
