"","MFCC.Overall.Standard.Deviation0","MFCC.Overall.Standard.Deviation1","MFCC.Overall.Standard.Deviation2","MFCC.Overall.Standard.Deviation3","MFCC.Overall.Standard.Deviation4","MFCC.Overall.Standard.Deviation5","MFCC.Overall.Standard.Deviation6","MFCC.Overall.Standard.Deviation7","MFCC.Overall.Standard.Deviation8","MFCC.Overall.Standard.Deviation9","MFCC.Overall.Standard.Deviation10","MFCC.Overall.Standard.Deviation11","MFCC.Overall.Standard.Deviation12","MFCC.Overall.Average0","MFCC.Overall.Average1","MFCC.Overall.Average2","MFCC.Overall.Average3","MFCC.Overall.Average4","MFCC.Overall.Average5","MFCC.Overall.Average6","MFCC.Overall.Average7","MFCC.Overall.Average8","MFCC.Overall.Average9","MFCC.Overall.Average10","MFCC.Overall.Average11","MFCC.Overall.Average12","CLASS"
"11",16.18,1.443,2.67,2.836,2.06,1.809,2.253,1.86,2.011,1.304,1.356,1.372,0.8641,-233.3,19.97,4.64,3.659,3.81,3.048,0.5872,0.5888,0.8424,0.3822,-0.2958,0.377,-0.4269,0
"12",13.12,1.365,2.627,2.657,2.016,1.638,2.087,1.959,1.906,1.295,1.305,1.226,0.8455,-223,19.28,3.185,2.728,4.973,4.275,0.6169,1.51,0.3169,0.03926,-1.221,0.9508,-0.7897,0
"13",7.104,1.563,2.268,2.593,1.79,1.71,1.832,1.709,1.705,1.238,1.176,1.338,1.005,-229.9,16.63,-2.185,-3.028,7.2,3.701,-4.018,3.131,-2.756,1.127,-1.42,1.157,-0.35,1
"14",17.77,2.483,3.649,3.638,2.948,2.193,2.498,2.38,2.206,1.322,1.532,1.829,0.9579,-212.4,18.22,2.232,2.007,5.379,4.098,-0.9146,0.6111,0.8796,1.146,-1.361,1.455,-0.5943,1
"15",7.095,1.776,2.544,2.838,1.693,1.541,1.577,1.977,1.533,1.245,1.082,1.35,0.9222,-218.8,15.95,-3.016,-2.894,9.686,6.278,-4.136,4.068,-1.866,1.912,-2.517,2.307,-0.9181,1
"16",11.64,1.186,2.403,2.363,1.951,1.531,1.877,1.9,1.742,1.202,1.278,1.277,0.8345,-213.2,21,7.253,6.663,3.027,3.807,2.949,-1.273,1.715,-1.19,-0.7599,1.03,-0.5627,0
"17",11.7,1.708,2.692,2.873,2.341,1.803,2.165,1.864,1.779,1.487,1.232,1.517,0.9209,-237.9,18.55,1.962,0.5155,4.259,2.634,-0.4521,1.906,-1.079,-0.09116,-0.06863,0.5811,-0.4941,1
"18",12.21,1.822,2.78,2.81,2.326,1.723,2.128,2.136,1.993,1.454,1.3,1.345,0.889,-227.4,18.21,4.257,4.1,6.237,4.86,-0.9138,-1.204,2.745,1.678,-2.353,1.299,-0.5937,1
"19",14.47,1.578,3.333,3.375,2.061,1.666,2.211,2.413,2.15,1.381,1.226,1.39,0.8968,-223.8,20.06,5.197,3.727,1.579,2.234,2.539,1.027,0.4075,-1.106,0.4557,0.4802,-0.7457,0
"20",13.73,1.694,2.646,2.669,2.385,1.59,2.219,1.804,1.664,1.596,1.415,1.311,0.8807,-232.2,19.31,2.617,1.506,4.457,2.903,-0.4362,1.695,-0.2961,0.4067,-0.6835,0.3609,-0.1951,1
"21",12.58,1.646,2.821,2.655,2.372,1.809,1.842,2.113,1.606,1.278,1.396,1.289,0.9588,-230.3,19.96,6.157,5.182,3.285,2.91,0.8636,-1.026,1.787,0.2249,-0.9888,0.1996,-0.3378,1
"22",17.11,1.705,2.643,2.829,2.134,1.747,1.92,1.999,2.112,1.383,1.264,1.439,0.954,-230.7,18.98,1.894,-0.1185,2.755,1.369,-0.2254,2.598,-1.633,-0.2597,0.7716,0.0009184,-0.3944,1
"23",15.31,1.881,2.324,2.489,2.446,1.893,1.739,1.891,1.836,1.377,1.453,1.34,0.9445,-246.2,17.93,2.171,0.5535,4.439,2.786,0.3894,2.155,-0.7036,-0.2478,0.09204,0.7503,-0.4226,1
"24",31.34,2.161,2.677,2.638,2.435,1.534,2.386,1.812,1.593,1.655,1.498,1.578,1.112,-212.7,18.88,1.818,0.9612,5.172,3.165,-1.535,1.89,-0.4437,0.9977,-1.061,-0.1609,-0.6358,1
"25",10.35,1.511,2.512,2.402,2.369,2.013,1.823,1.985,1.756,1.225,1.408,1.472,0.8713,-215.1,19.85,4.562,4.256,4.784,4.25,0.5525,-0.3533,1.054,-0.1814,-1.836,0.9543,-0.3282,0
"26",12.52,1.551,2.42,2.477,2.25,1.806,1.75,1.765,1.552,1.156,1.164,1.338,0.8693,-227.8,18.89,1.808,1.517,6.255,3.797,-2.16,1.369,-0.2463,1.377,-1.334,0.7189,-0.5202,1
"27",17.87,1.466,2.688,2.727,3.534,3.412,2.125,2.135,2.07,1.377,2.031,2.01,1.085,-217.8,20.05,4.842,3.633,2.926,2.593,1.34,0.7264,0.6049,-0.07834,0.2553,0.491,-0.7052,0
"28",14.2,1.376,2.518,2.608,1.986,1.77,1.788,2.116,1.764,1.189,1.204,1.443,0.864,-217.1,19.44,3.273,2.699,4.481,4.037,0.7784,1.337,0.04803,-0.3674,-0.664,1.305,-0.8657,0
"29",16.37,1.2,2.043,2.173,1.824,1.6,1.858,1.71,1.721,1.234,1.29,1.254,0.8472,-229,20.18,5.351,4.391,3.236,3.376,2.082,0.756,0.9214,-0.4049,-0.1334,0.609,-0.8221,0
"30",17.24,1.748,2.683,2.966,2.705,2.373,2.19,2.119,2.047,1.408,1.588,1.782,0.9117,-224.9,18.99,2.417,1.176,3.934,2.332,-0.9761,1.276,-0.5464,0.488,-0.581,0.02903,-0.5744,1
"31",14.07,1.986,3.549,3.591,2.524,1.888,2.334,2.429,2.04,1.469,1.412,1.484,0.9519,-208.1,18.43,0.02311,-0.2611,6.695,4.224,-2.59,2.858,-1.132,1.696,-1.402,1.057,-0.6116,1
"32",8.441,1.65,2.783,2.839,1.973,1.702,1.804,2.144,1.798,1.187,1.162,1.284,0.9017,-219.1,18.73,1.447,0.9471,5.35,4.331,-0.4564,2.463,-0.7116,-0.2433,-1.356,0.8342,-0.7272,0
"33",18.6,1.597,2.582,2.91,1.966,1.74,2.264,2.137,2.513,1.412,1.468,1.438,0.9409,-218.1,16.8,-2.082,-2.615,6.922,4.068,-3.385,3.896,-1.654,1.897,-1.282,1.342,-0.4161,1
"34",10.44,1.116,1.905,1.882,2.212,2.079,1.634,1.755,1.676,1.276,1.404,1.564,0.9437,-212.8,20.69,5.455,4.539,3.215,3.307,1.626,-0.128,0.1957,-1.104,-0.184,1.07,-0.5335,1
"35",8.097,1.282,1.691,1.831,1.789,1.48,1.65,1.401,1.387,1.179,1.184,1.223,0.7736,-235.8,17.83,0.8615,0.5413,7.864,5.158,-2.411,1.444,-0.3608,1.646,-2.361,1.561,-0.1783,0
"36",15.93,2.062,3.493,3.53,2.726,1.926,2.647,2.357,2.017,1.668,1.489,1.541,0.8751,-204.6,17.61,-0.9018,-0.7411,8.414,5.324,-4.072,2.689,-1.1,2.642,-2.359,1.557,-0.5575,1
"37",11.02,1.473,2.945,2.864,2.37,1.787,2.366,2.246,1.969,1.547,1.425,1.48,0.9381,-226.4,18.7,2.584,2.021,5.115,4.223,0.298,2.134,0.5421,0.6152,-1.048,0.7043,-0.9812,1
"38",14.57,1.62,3.159,3.073,2.418,1.931,2.035,2.498,1.939,1.333,1.445,1.438,0.9197,-219.3,19.64,4.538,4.028,4.125,3.341,-0.2005,-0.4173,1.043,0.6389,-1.004,0.6576,-0.5326,0
"39",20.72,2.025,3.08,3.373,2.767,2.19,1.832,2.386,2.836,1.923,1.827,1.617,0.9997,-241,18.36,2.312,0.331,4.16,1.946,-0.6877,1.708,-0.7953,0.1425,-0.5011,-0.1018,0.03848,1
"40",11.37,1.628,2.573,2.698,2.044,1.552,1.763,1.862,1.635,1.233,1.199,1.371,0.888,-232.7,19.42,3.07,1.386,3.555,3.085,1.611,2.646,-1.643,-1.451,0.7475,1.4,-0.7966,1
"41",10.56,1.627,2.219,2.486,2.177,1.664,1.754,1.702,1.52,1.214,1.263,1.225,0.8875,-236.8,17.8,0.5512,-0.1023,6.73,4.351,-1.385,2.756,-0.8681,0.9112,-0.9953,1.067,-0.7029,1
"42",7.399,1.342,2.498,2.719,1.709,1.471,1.903,2.196,1.951,1.325,1.176,1.368,0.968,-210.5,17.67,-1.087,-1.015,7.333,4.846,-2.319,4.062,-1.612,1.477,-1.402,1.056,-2.189,1
"43",14.68,1.762,3.15,3.273,2.337,1.887,2.477,2.254,2.248,1.366,1.401,1.406,0.89,-222.2,18.9,3.411,3.394,5.71,4.501,-0.3875,0.2914,1.437,1.043,-1.604,0.9544,-0.6272,1
"44",5.951,1.961,2.268,2.556,1.709,1.614,1.614,1.579,1.352,1.222,1.189,1.262,0.8915,-236.8,16.19,-1.878,-1.79,8.922,4.823,-4.81,2.393,-0.7707,2.782,-2.412,0.8442,-0.3297,1
"45",15.68,2.235,4.124,3.971,2.821,1.935,2.444,2.682,2.154,1.408,1.5,1.365,0.8689,-206.5,19.06,1.801,1.514,5.351,3.96,-0.9191,2.011,-0.1195,0.8655,-1.224,0.8894,-0.3778,1
"46",14.26,1.885,3.895,3.564,2.7,1.964,2.596,2.676,2.123,1.606,1.445,1.469,1.053,-232.5,19.31,4.953,3.681,3.402,2.859,0.7716,0.1239,1.096,0.243,-0.5492,0.5667,-0.4433,1
"47",58.93,1.471,4.63,4.936,2.375,1.836,3.651,3.06,3.22,1.413,1.253,1.668,0.9538,-164.1,18.95,-0.05418,-2.481,3.149,0.7378,-2.053,4.495,-3.232,0.2857,0.8516,-0.9496,-0.2873,1
"48",8.69,1.392,2.152,2.386,1.716,1.536,1.817,1.817,1.92,1.193,1.288,1.417,0.9618,-218.5,17.77,-0.5723,-0.324,6.341,4.638,-1.942,3.549,0.2656,2.043,-1.543,0.03587,-1.904,1
"49",10.98,1.498,2.655,2.742,2.056,1.686,1.969,1.974,1.807,1.267,1.392,1.314,0.8277,-219.8,19.63,3.352,2.977,5.466,4.401,0.04718,0.955,0.3301,0.2394,-1.643,0.9439,-0.354,0
"50",13.36,1.588,2.513,2.535,2.016,1.765,1.899,1.892,2.05,1.207,1.274,1.417,0.9403,-228.6,19.12,5.898,4.658,2.393,3.144,2.718,-0.1821,2.041,-0.6287,0.007031,1.285,-0.8186,0
"51",11.45,1.92,2.954,3.14,2.399,2.23,1.965,2.138,1.795,1.308,1.431,1.557,1.078,-215.2,17.31,-1.673,-2.288,6.5,3.833,-2.903,3.957,-1.991,1.354,-1.32,0.9854,-0.5207,1
"52",9.267,2.037,3.204,3.542,1.912,1.742,2.116,2.175,2.144,1.166,1.151,1.482,0.9443,-221.1,15.58,-3.776,-4.249,8.81,5.553,-3.33,4.667,-2.667,1.574,-1.642,2.941,-0.9598,1
"53",7.221,1.532,2.344,2.406,1.805,1.525,1.788,1.74,1.654,1.26,1.276,1.282,0.903,-233.4,19.06,4.572,3.92,4.893,4.072,0.7597,-0.1991,0.8655,-0.1908,-1.013,1.45,-0.6194,0
"54",10.3,1.527,2.362,2.44,2.426,1.774,1.812,1.811,1.611,1.266,1.331,1.401,0.8465,-227,17.72,0.2352,0.4202,8.473,5.447,-2.859,1.961,-0.8127,1.695,-1.912,1.832,-0.736,1
"55",13.76,1.487,3.14,2.971,2.114,1.712,2.313,2.182,2.3,1.21,1.242,1.474,0.9404,-223.6,21.1,9.636,8.144,1.038,2.248,3.239,-2.829,3.048,-0.7916,-0.1233,0.4303,-0.2093,0
"56",14.73,1.455,2.309,2.45,2.269,1.742,1.809,2.047,1.861,1.442,1.433,1.355,0.8933,-234.1,18.1,1.112,0.3664,6.026,3.891,-1.392,2.037,-0.6125,0.892,-1.051,0.9748,-0.8847,1
"57",17.56,1.702,2.92,2.822,2.436,1.78,2.125,2.075,1.684,1.443,1.524,1.323,0.8802,-219.5,20.63,7.28,6.463,2.859,2.877,1.641,-1.623,2.719,0.2872,-1.21,0.06823,-0.3142,1
"58",9.473,1.353,2.189,2.378,1.818,1.512,1.855,1.688,1.671,1.269,1.153,1.228,0.8364,-234.6,18.1,1.086,0.5919,6.65,4.313,-1.775,2.048,-0.2838,1.267,-1.433,0.8288,-0.5884,1
"59",10.72,1.791,2.706,2.772,1.839,1.407,1.827,1.79,1.679,1.52,1.203,1.274,0.9059,-237.1,19.28,3.812,2.327,3.383,2.14,-0.139,0.9162,0.8809,0.9266,-0.8855,-0.3936,-0.06496,1
"60",9.994,1.611,2.769,2.913,1.964,1.746,2.164,1.774,1.862,1.348,1.279,1.359,0.9448,-246.9,18.65,3.635,2.29,4.168,3.251,1.04,1.84,0.9322,0.551,0.1779,0.7475,-0.4188,1
"61",13.45,1.13,2.436,2.49,2.006,1.638,2.173,1.841,2.282,1.25,1.369,1.279,0.92,-226.8,19.83,5.295,4.604,3.583,3.474,1.395,-0.0438,1.729,0.1988,-0.5102,0.7891,-0.5815,1
"62",16.29,1.872,3.084,3.009,2.394,1.869,2.188,2.013,1.909,1.336,1.294,1.454,0.938,-229.7,19.82,5.007,3.694,2.848,2.517,1.145,0.2779,0.4945,-0.3181,0.01009,0.4247,-0.6106,1
"63",7.63,1.278,2.329,2.54,1.685,1.46,1.902,1.801,1.655,1.294,1.265,1.307,0.8786,-218.7,17.82,-1.504,-2.072,6.673,3.487,-3.779,3.396,-2.153,1.748,-1.489,0.7475,-0.1501,1
"64",7.772,1.611,2.663,3.023,1.749,1.532,1.972,1.875,1.81,1.273,1.152,1.319,0.8715,-238.8,16.26,-1.371,-2.215,7.516,4.429,-2.406,3.21,-1.207,0.9552,-1.44,1.493,-0.4245,1
"65",7.378,1.406,2.226,2.361,1.854,1.698,1.825,1.934,1.868,1.255,1.349,1.472,1.061,-216.1,18.43,0.9564,0.9677,6.727,4.908,-1.371,2.239,-0.8997,0.7674,-1.718,0.9327,-1.76,1
"66",9.391,1.422,2.462,2.687,1.742,1.711,1.863,1.919,1.846,1.304,1.184,1.345,0.8726,-216,17.88,0.4296,0.4481,6.793,4.978,-2.018,2.242,0.3729,2.283,-1.714,1.688,-0.5931,1
"67",10.73,1.496,2.508,2.514,2.101,1.722,1.797,1.939,1.506,1.341,1.351,1.389,0.9529,-230.9,19.29,1.832,0.8897,4.973,2.928,-1.387,2.149,-0.9442,0.7997,-0.5982,0.1301,-0.4992,1
"68",18.54,1.554,3.409,3.611,2.328,2.165,2.357,2.458,2.483,1.249,1.43,1.635,0.9617,-228.6,19.94,4.446,2.374,1.346,1.186,1.54,1.926,0.1743,-0.2045,0.9601,-0.2938,-0.4194,0
"69",12.8,1.571,2.844,2.927,2.485,2.077,2.083,2.279,2.018,1.387,1.446,1.582,0.9018,-222.2,18.9,2.577,1.543,4.377,3.708,0.7573,2.212,-0.9066,-0.5496,-0.09047,1.256,-1.362,0
"70",11.52,1.115,2.215,2.23,1.787,1.512,1.937,1.786,1.716,1.236,1.3,1.231,0.8877,-214.2,21.17,8.42,7.838,2.372,3.268,2.968,-2.378,2.895,-0.5648,-0.6275,0.7208,-0.3901,0
"71",16.61,1.479,2.771,3.22,3.255,3.139,2.331,2.471,2.425,1.416,2.043,1.781,1.147,-214.5,18.93,2.488,1.861,4.56,3.767,0.2099,2.149,0.2844,0.4514,-0.5831,0.7675,-0.6054,0
"72",14.52,1.585,3.054,3.094,2.448,1.818,2.224,2.319,2.072,1.39,1.324,1.365,0.8945,-221.1,20.1,5.594,4.534,2.331,2.914,2.507,0.71,0.9791,-0.6958,0.3981,0.7907,-1.104,1
"73",13.88,2.166,2.382,2.295,2.773,2.089,1.704,1.646,1.459,1.306,1.345,1.608,0.8837,-221.4,16.64,-2.028,-2.044,8.729,4.956,-4.977,2.98,-1.548,2.638,-2.152,1.178,-0.5427,1
"74",10.12,1.686,2.787,2.924,2.135,1.592,2.085,2.004,1.864,1.225,1.273,1.367,0.88,-219.3,17.81,0.3061,0.2172,7.221,4.728,-2.726,1.982,0.1021,2.06,-2.57,1.167,-0.2046,1
"75",18.98,1.563,2.084,2.212,1.954,1.67,1.88,1.642,1.715,1.338,1.117,1.315,0.8911,-237.5,18.25,1.242,-0.1998,4.658,2.719,-0.9024,2.585,-0.9887,0.5923,0.1755,0.6534,-0.4443,1
"76",11.19,2.004,2.75,2.714,2.516,2.181,1.992,1.997,1.893,1.279,1.248,1.576,0.9872,-223.1,18.71,1.832,1.056,4.89,3.462,-0.5996,2.01,-0.9419,0.3608,-0.2741,0.8904,-0.9463,1
"77",16.03,1.673,2.81,2.895,2.366,1.87,1.972,2.317,1.835,1.4,1.332,1.45,0.9853,-232.2,19.03,2.955,1.541,3.546,2.53,0.4718,1.72,-0.5891,-0.2557,0.1714,0.6402,-0.6102,1
"78",17.25,1.725,2.851,3.099,2.016,1.686,2.045,2.238,2.557,1.352,1.305,1.389,0.9657,-216,16.54,-2.192,-2.443,7.663,4.763,-3.38,3.669,-1.911,1.838,-1.395,1.969,-0.9861,1
"79",10.4,1.508,2.089,2.203,2.09,1.604,1.608,1.748,1.512,1.293,1.299,1.268,0.9166,-247.8,18.74,3.657,2.348,4.594,3.057,0.3909,0.9963,0.02488,-0.07101,-0.3353,0.5991,-0.6472,1
"80",16.15,1.311,2.828,2.904,2.284,1.83,2.224,2.148,2.103,1.198,1.578,1.28,0.9292,-213.7,20.96,6.503,5.537,2.493,2.93,2.19,-0.558,1.314,-0.7504,-0.3768,0.4731,-0.4157,0
"81",16.97,1.559,3.115,3.261,2.294,1.808,2.414,2.411,2.191,1.513,1.378,1.429,0.8809,-226,19.93,5.141,4.165,3.468,3.034,0.9547,0.1403,1.053,0.04986,-0.688,0.2975,-0.4981,0
"82",11.69,1.984,1.886,1.905,3.333,2.778,1.632,1.645,1.463,1.394,1.477,1.888,0.9308,-236.9,17.5,-0.3081,-1.793,4.442,1.338,-2.934,2.96,-0.6613,2.024,-0.53,-0.9872,0.05083,1
"83",15.43,1.621,2.37,2.299,1.893,1.598,1.84,1.712,1.854,1.251,1.209,1.326,0.9174,-239.5,18.53,4.153,2.418,3.121,2.739,1.367,1.188,0.8289,-0.01388,0.3678,0.9575,-0.6837,1
"84",12.53,1.881,3.062,3.285,2.372,1.88,2.032,2.436,1.948,1.41,1.555,1.487,0.8826,-233.8,18.49,1.479,0.8401,5.33,3.097,-1.532,1.869,0.5294,1.389,-1.785,-0.2878,0.06423,1
"85",9.903,1.18,2.719,2.756,1.714,1.342,2.289,2.027,1.972,1.279,1.2,1.191,0.8774,-221,20.42,7.034,6.688,4.153,4.447,2.211,-1.492,2.65,-0.1695,-1.298,1.136,-0.4597,0
"86",15.19,1.75,3.318,3.214,2.249,1.696,2.143,2.386,1.931,1.3,1.28,1.372,0.9869,-229.4,19.76,4.01,2.654,3.053,2.475,0.7011,0.9303,-0.5824,-0.5739,0.2139,0.6468,-0.6076,0
"87",10.14,1.79,2.606,2.681,2.269,1.751,1.985,2.031,1.845,1.343,1.289,1.458,0.9251,-225.4,17.42,1.841,2.061,7.406,5.345,-2.055,0.0525,1.153,1.764,-2.506,1.857,-0.6993,1
"88",11.78,1.625,2.791,2.561,2.94,2.324,2.042,1.888,1.723,1.292,1.481,1.746,0.97,-220.1,20.43,4.485,3.469,4.337,3.265,-0.06117,0.11,-0.906,-0.4051,-0.335,0.6975,-0.6815,0
"89",10.07,2.066,2.752,2.653,2.231,1.814,1.503,1.975,1.407,1.235,1.114,1.506,0.9509,-217.9,16.86,-1.965,-1.388,9.562,5.608,-4.647,3.001,-0.9136,3.001,-3.212,1.452,-0.6361,1
"90",9.271,1.742,2.84,3.119,1.905,1.647,1.915,2.203,1.935,1.136,1.147,1.214,0.8867,-229.2,16.18,-1.017,-1.667,7.124,5.775,-0.7848,4.3,-0.3051,0.3827,-1.366,1.927,-0.9025,1
"91",12.35,1.287,2.753,2.776,2.128,1.71,2.07,2.035,1.835,1.313,1.311,1.307,0.8416,-221,20.78,5.341,4.499,3.89,3.463,1.083,0.2457,0.5483,-0.4748,-1.058,0.2644,-0.2244,0
"92",13.17,1.517,2.41,2.662,1.772,1.554,1.745,1.737,1.661,1.199,1.119,1.261,0.9622,-245.1,19.24,3.712,1.78,3.068,2.185,1.18,1.926,-0.4015,-0.3997,0.5517,0.1096,-0.64,1
"93",13.98,1.688,2.77,2.678,2.055,1.662,1.892,2.062,1.704,1.308,1.3,1.435,0.9378,-245.2,19.42,5.157,3.601,3.591,2.754,0.9229,0.1476,0.7369,-0.2353,-0.5411,0.256,-0.1686,0
"94",13.65,1.596,3.026,2.977,2.362,1.734,2.184,2.021,1.969,1.381,1.418,1.41,0.974,-239.8,19.3,3.672,1.689,2.363,1.744,1.03,1.905,-0.07711,-0.1554,0.6814,0.1263,-0.4199,0
"95",14.29,1.728,2.725,2.814,2.674,1.803,2.372,1.978,2.009,1.432,1.466,1.598,1.003,-224.3,18.92,2.454,2.092,6.108,3.954,-1.754,0.8143,0.3236,1.553,-1.704,0.7548,-0.5146,1
"96",11.12,1.653,2.704,2.84,2.021,1.531,1.864,2.14,1.951,1.462,1.223,1.427,1.027,-216.1,16.92,-2.004,-2.2,7.858,5.04,-2.897,4.199,-2.422,1.452,-1.256,1.931,-1.405,1
"97",14.03,1.466,2.707,2.635,2.128,1.657,2.004,1.932,1.762,1.299,1.282,1.341,0.888,-228.5,20.52,5.481,4.24,2.741,2.229,0.7706,-0.1243,0.6059,-0.08037,-0.2611,-0.01797,-0.3269,1
"98",15.57,2.348,3.604,3.284,3.486,2.371,2.939,1.931,2.004,1.793,1.704,1.758,1.071,-233,18.6,1.978,0.7833,4.884,3.157,-0.8032,2.123,-0.8274,0.4628,-0.5434,0.4311,-0.5279,1
"99",12.84,1.573,2.85,2.969,2.038,1.686,2.109,1.999,1.803,1.428,1.242,1.32,0.8569,-230.4,19.61,4.746,3.909,3.93,3.024,0.3726,-0.1515,0.6676,0.1477,-0.4466,0.8088,-0.6888,1
"100",8.227,1.495,2.069,2.283,1.772,1.629,1.602,1.813,1.549,1.327,1.223,1.304,0.982,-236.6,16.96,-1.562,-2.753,5.474,2.507,-3.129,3.632,-1.597,1.327,-1.261,-0.2659,-0.05252,1
"101",12.66,2,2.411,2.302,2.534,1.823,1.788,1.605,1.476,1.256,1.388,1.399,0.86,-228.2,18.57,3.14,2.733,5.898,4.558,-0.2889,0.5331,0.4944,0.4789,-1.144,1.445,-0.7151,1
"102",14.81,1.921,3.272,3.159,2.737,2.164,2.193,2.377,2.078,1.306,1.455,1.6,0.9692,-222.9,19.44,4.125,3.394,4.444,3.36,-0.1416,0.1198,0.653,0.3918,-1.146,0.4576,-0.4369,0
"103",10.31,1.853,2.29,2.345,2.174,1.775,1.663,1.769,1.464,1.216,1.395,1.414,0.9299,-228.2,16.87,-1.663,-2.278,7.198,4.408,-2.812,3.717,-2.22,1.031,-1.107,1.36,-1.136,1
"104",9.855,1.415,2.622,2.544,2.274,1.587,2.149,2.054,1.807,1.381,1.468,1.153,0.8391,-228.8,18.85,5.465,5.367,6.101,5.24,0.377,-1.265,2.661,0.9897,-2.675,1.07,-0.4279,1
"105",49.59,1.405,3.943,4.706,1.878,2.015,2.722,3.188,3.056,1.335,1.383,1.547,0.9191,-194,19.48,1.77,0.4471,4.079,2.118,-1.741,2.255,-1.408,0.7062,-0.2182,-0.3268,-0.3745,0
"106",10.4,1.754,2.576,2.794,2.204,1.727,2.101,1.955,1.812,1.397,1.227,1.401,0.9319,-228.9,17.2,-0.03886,-0.1311,8.377,5.073,-3.749,1.862,-0.135,2.523,-2.449,1.076,-0.484,0
"107",15.07,1.538,2.447,2.454,2.287,1.746,1.802,1.962,1.807,1.404,1.281,1.457,0.9364,-242.6,19.28,3.76,1.437,1.909,1.613,1.909,2.488,-0.8378,-1.132,1.106,0.2257,-0.453,1
"108",9.639,1.554,2.088,2.289,1.511,1.474,1.564,1.535,1.599,1.129,1.111,1.309,0.9179,-247,18.61,2.678,0.569,2.464,1.224,0.3027,1.887,-0.6074,-0.2625,0.4604,-0.1453,-0.2698,0
"109",16.41,1.171,2.573,2.616,2.031,1.672,2.36,1.853,1.914,1.283,1.43,1.314,0.8585,-221.2,21.3,7.333,6.282,2.298,2.716,2.535,-0.8402,1.402,-0.8161,-0.2827,0.01834,-0.6142,0
"110",11.45,1.779,2.371,2.338,2.594,1.857,1.858,1.681,1.526,1.381,1.39,1.442,0.8745,-234.7,17.85,1.269,0.5034,5.644,3.997,-0.6795,2.035,-0.2642,0.5734,-0.7039,1.479,-0.5106,1
"111",7.238,1.728,2.052,2.231,1.676,1.443,1.486,1.475,1.255,1.293,1.169,1.215,0.9211,-244.1,16.31,-1.453,-2.36,6.91,3.189,-3.778,2.504,-1.118,1.715,-1.557,0.2705,-0.1619,1
