"","MFCC Overall Standard Deviation0","MFCC Overall Standard Deviation1","MFCC Overall Standard Deviation2","MFCC Overall Standard Deviation3","MFCC Overall Standard Deviation4","MFCC Overall Standard Deviation5","MFCC Overall Standard Deviation6","MFCC Overall Standard Deviation7","MFCC Overall Standard Deviation8","MFCC Overall Standard Deviation9","MFCC Overall Standard Deviation10","MFCC Overall Standard Deviation11","MFCC Overall Standard Deviation12","MFCC Overall Average0","MFCC Overall Average1","MFCC Overall Average2","MFCC Overall Average3","MFCC Overall Average4","MFCC Overall Average5","MFCC Overall Average6","MFCC Overall Average7","MFCC Overall Average8","MFCC Overall Average9","MFCC Overall Average10","MFCC Overall Average11","MFCC Overall Average12"
"45",17.77,1.863,2.415,2.709,2.585,2.135,1.516,1.709,1.647,1.084,1.403,1.441,0.9036,-249.4,20.2,8.166,5.259,1.085,0.9783,2.78,-0.5736,1.15,-0.7368,0.5494,-0.5506,-0.6015
"46",12.05,1.723,2.766,2.7,1.772,1.718,1.626,2.196,1.747,1.238,1.205,1.367,1.061,-239.6,20.13,6.985,5.47,1.732,1.843,2.144,-0.4345,0.7174,-0.8979,0.2059,-0.139,-0.7607
"47",267.1,5.921,2.824,2.389,2.132,1.858,1.575,1.753,1.469,1.06,1.154,1.334,0.8995,-342,16.58,4.488,2.623,3.123,2.205,1.414,0.8033,0.6522,-0.2621,0.1536,0.1635,-0.4312
"48",295,6.716,3.778,3.014,2.095,1.945,1.76,1.934,1.553,1.054,1.102,1.214,0.9234,-356.3,16.81,6.957,4.679,2.308,2.331,2.053,-0.5647,1.265,-0.4607,0.01852,0.5319,-0.2953
"49",327.2,6.667,2.769,2.102,1.999,1.833,1.485,1.558,1.456,1.052,1.077,1.171,0.7941,-378.5,15.07,4.022,2.013,2.41,2.08,1.353,0.8782,0.6649,-0.2462,0.0994,0.5895,-0.4594
"50",22.08,1.325,2.701,2.469,1.453,1.434,1.416,2.114,1.677,1.029,1.167,1.172,0.888,-220.8,20.28,5.745,3.823,1.321,1.429,1.47,0.357,0.6286,-0.03617,0.9074,0.4535,-0.04097
"51",10.48,1.337,2.053,2.355,1.64,1.998,1.565,1.522,1.497,1.133,1.257,1.355,0.908,-251.4,19.94,6.977,4.053,0.4059,-0.4164,1.164,-0.1101,0.7006,0.2779,1.493,-0.6883,-0.2615
"52",150.2,3.526,2.441,2.38,1.323,1.34,1.392,1.727,1.399,1.007,0.9814,0.9918,0.8504,-267.6,18.87,6.154,4.496,2.176,1.843,2.271,0.3561,-0.4736,-1.564,-0.363,-0.6608,-1.246
"53",8.428,1.312,1.898,1.755,1.693,1.943,1.303,1.4,1.25,1.257,1.38,1.283,1.12,-252.8,19.95,8.437,3.928,-1.948,-3.041,0.3154,-1.322,1.007,1.287,2.723,-1.488,0.9912
"54",10.1,1.385,2.828,2.361,1.798,1.72,1.4,1.771,1.391,1.32,1.321,1.189,0.9784,-245.2,19.6,7.759,4.231,0.4463,-0.253,0.6398,-1.094,0.8119,0.6577,1.261,-0.1933,0.2512
"55",8.775,1.14,2.472,2.007,2.392,2.314,1.48,1.68,1.376,1.403,1.454,1.549,1.231,-244.6,19.74,5.265,1.548,-1.961,-3.1,0.0716,0.6483,-0.03797,0.7251,2.418,-2.059,0.7117
