"","MFCC Overall Standard Deviation0","MFCC Overall Standard Deviation1","MFCC Overall Standard Deviation2","MFCC Overall Standard Deviation3","MFCC Overall Standard Deviation4","MFCC Overall Standard Deviation5","MFCC Overall Standard Deviation6","MFCC Overall Standard Deviation7","MFCC Overall Standard Deviation8","MFCC Overall Standard Deviation9","MFCC Overall Standard Deviation10","MFCC Overall Standard Deviation11","MFCC Overall Standard Deviation12","MFCC Overall Average0","MFCC Overall Average1","MFCC Overall Average2","MFCC Overall Average3","MFCC Overall Average4","MFCC Overall Average5","MFCC Overall Average6","MFCC Overall Average7","MFCC Overall Average8","MFCC Overall Average9","MFCC Overall Average10","MFCC Overall Average11","MFCC Overall Average12"
"20",39.79,2.76,3.964,3.736,3.267,2.742,2.61,3.461,2.851,2.226,1.793,2.356,1.356,-190.5,20.68,6.14,3.949,0.4983,1.195,2.563,1.518,-0.7017,-1.6,1.158,-0.5361,-0.5184
"21",42.98,3.389,4.008,4.123,3.572,2.94,3.264,4.421,2.775,2.394,1.91,2.524,1.492,-192.8,19.46,4.188,1.554,-0.5318,0.4832,3.099,4.207,-1.65,-1.94,1.865,-1.154,-0.8778
"22",34.94,2.482,3.924,3.959,3.266,3.103,2.898,4.115,2.847,2.531,2.024,2.75,1.485,-184.9,20.72,4.996,2.556,1.019,1.005,1.443,2.082,-2.102,-2.034,1.214,-0.772,-0.1015
"23",35.89,4.095,5.24,5.705,3.905,3.387,3.241,5.676,3.631,2.699,2.355,2.818,1.83,-186.3,18.38,2.035,-0.6017,-0.8823,0.02753,2.629,6.152,-2.177,-1.787,2.213,-1.935,-1.243
"24",34.05,3.1,3.92,4.29,4.25,3.673,3.047,5.094,2.483,2.302,2.192,2.892,1.628,-191,20.45,6.005,2.745,-2.223,-1.412,2.998,3.153,-0.4062,-1.092,2.628,-2.15,-0.4223
"25",33.52,1.769,3.524,3.08,4.241,4.048,2.845,3.129,2.359,2.32,2.222,2.795,1.552,-196.9,21.57,8.086,4.493,-2.762,-1.952,3.236,1.251,0.2147,-1.054,2.507,-2.224,-0.2608
"26",36,2.14,3.511,3.515,3.506,3.168,2.906,3.74,2.491,2.506,1.965,2.575,1.429,-192.4,21.48,7.292,4.29,-0.8714,-0.2226,2.901,1.394,-1.124,-2.149,1.928,-1.571,-0.4156
"27",219.1,4.999,3.385,3.214,2.239,1.939,2.9,2.209,2.17,2.183,1.706,1.767,1.211,-230.3,20.22,4.901,2.781,0.9004,0.5844,1.178,1.65,-1.384,-1.145,1.116,-1.141,-0.4238
"28",36.09,3.512,4.782,4.859,3.322,2.984,2.947,4.883,3.116,2.623,2.185,2.504,1.728,-190.1,20.02,4.915,2.303,-0.6526,0.2435,2.938,3.265,-1.185,-1.706,1.945,-1.235,-0.6661
"29",32.37,1.116,2.285,2.555,2.534,2.355,2.537,2.561,2.317,2.176,1.857,2.066,1.121,-169.2,21.91,6.207,3.834,0.3584,0.1627,1.452,1.132,-0.9976,-1.26,1.202,-1.692,-0.2067
"30",46.52,2.052,4.179,4.011,4.502,4.208,3.084,3.561,2.606,2.227,2.276,2.888,1.503,-182.6,21.09,6.296,2.932,-2.012,-1.674,2.627,2.52,-0.3914,-0.9709,2.208,-2.537,-0.5598
"31",36.66,3.92,5.008,5.195,3.404,2.9,2.736,4.746,3.605,2.796,2.252,2.853,1.708,-197.8,19.16,3.723,0.9102,-0.2143,0.4658,2.384,3.559,-2.584,-2.439,1.832,-0.8448,-0.9741
"32",36.9,1.526,2.68,2.909,2.884,2.806,2.447,2.864,2.251,1.937,1.863,2.05,1.227,-163.6,21.43,5.04,2.445,0.2912,-0.1921,1.152,2.101,-1.696,-1.385,1.499,-1.884,-0.3271
"33",37.32,2.997,4.149,4.725,4.198,3.603,2.89,5.452,2.789,2.151,2.472,2.751,1.686,-186.7,19.96,4.246,1.571,-0.9887,-0.4467,2.493,4.219,-0.9258,-1.071,2.02,-1.913,-0.5753
"34",38.09,1.816,3.459,3.952,3.44,3.06,3.08,3.86,2.374,1.981,2.061,2.339,1.292,-173.5,20.96,4.516,1.665,-0.265,-0.4796,1.534,3.253,-1.723,-1.132,1.928,-1.924,-0.3323
"35",37.36,2.204,4.1,4.188,3.19,2.618,3.207,4.584,2.88,2.527,2.071,2.277,1.529,-183.7,20.68,4.925,2.538,0.2259,0.3901,1.625,2.846,-1.236,-1.24,1.081,-1.833,-0.3253
"36",30.73,3.416,5.217,4.994,3.727,3.187,3.098,4.2,3.567,2.504,2.124,2.993,1.717,-192.4,20.12,4.487,2.335,0.9343,1.112,1.978,2.825,-1.475,-1.438,1.227,-0.8737,-0.8186
"37",35.45,2.641,3.804,4.057,3.879,3.485,3.033,4.279,2.993,2.622,2.35,2.504,1.668,-196.1,20.12,5.719,2.36,-1.998,-0.5596,3.523,3.406,-1.622,-2.358,2.401,-1.344,-0.5654
"38",37.31,2.653,3.877,4.052,5.074,5.591,2.968,3.398,2.652,2.264,2.439,3.152,1.657,-189.2,20.64,6.858,3.486,-2.184,-1.983,2.487,1.643,0.3855,-0.472,2.216,-2.418,-0.3425
"39",32.72,2.672,4.787,5.154,4.299,4.205,2.88,4.623,3.195,2.425,2.499,2.829,1.837,-189.5,20.11,5.003,1.138,-2.968,-2.386,2.914,4.187,-1.242,-1.236,3.179,-2.538,-0.3644
"40",51.84,1.848,3.694,4.051,3.071,2.719,3.367,4.008,2.715,2.239,1.959,2.226,1.474,-178.9,21.12,5.355,2.712,0.3845,0.1197,1.446,2.262,-1.439,-1.244,1.391,-1.816,-0.4115
"41",38.65,2.017,4.395,4.299,3.01,2.839,2.961,3.579,2.99,2.227,1.897,2.434,1.235,-175.1,21.36,5.756,3.469,0.8323,0.4888,1.157,1.322,-0.9591,-0.8823,1.231,-1.264,-0.2369
"42",30.76,2.054,4.091,4.429,3.641,3.279,3.449,4.858,2.716,2.44,2.37,2.314,1.587,-183.4,21.1,5.869,3.338,-0.001443,0.4961,2.482,2.436,-1.299,-1.754,1.622,-1.533,-0.4138
"43",44.51,1.81,2.93,3.148,2.659,2.276,2.83,3.739,2.168,2.017,1.68,2.041,1.344,-186.2,21.29,6.025,3.73,-0.08417,0.5872,2.466,1.933,-0.7924,-1.582,1.514,-1.096,-0.3656
"44",31.2,2.717,5.555,4.605,4.648,3.904,3.181,4.202,2.611,2.15,1.999,2.776,1.699,-189.6,21.83,8.837,4.817,-3.673,-2.481,3.746,1.602,0.4605,-1.223,2.734,-3.041,-0.6897
"45",32.35,2.237,3.978,4,4.212,3.805,2.844,4.465,2.558,2.284,2.301,2.807,1.701,-184.7,20.93,5.695,2.957,-1.162,-0.4626,2.846,2.803,-1.044,-1.615,2.128,-1.667,-0.5431
"46",54.51,2.242,2.979,3.031,1.981,1.881,2.023,2.276,2.086,1.467,1.426,1.521,1.01,-190.1,21.11,6.197,4.236,1.104,1.168,1.912,0.8718,-0.3791,-1.126,0.7732,-0.769,-0.3995
"47",43.36,1.482,4.79,4.806,3.008,2.404,3.467,2.97,3.173,1.844,1.537,1.843,1.127,-178.3,21.75,5.785,2.377,-0.8681,-1.427,1.077,1.883,-1.617,-1.314,1.716,-2.761,-0.169
"48",48.37,3.449,4.394,4.045,4.128,3.823,3.501,4.455,2.724,2.944,2.477,2.819,1.705,-187.2,19.94,4.533,1.438,-1.302,-0.4441,2.795,4.002,-1.496,-1.818,2.107,-1.81,-0.5196
"49",28.79,3.369,5.228,5.627,3.309,3.117,3.685,5.504,3.265,2.85,2.237,2.402,1.677,-202.8,20.44,7.109,4.826,-0.7175,0.7918,3.87,1.503,0.3283,-1.679,1.8,-0.9973,-0.5648
"50",52.09,2.286,3.163,3.447,3.248,2.865,2.894,3.811,2.337,2.043,1.776,2.22,1.329,-176.9,20.62,4.483,1.833,-0.2135,-0.4404,0.97,2.456,-1.738,-1.257,1.712,-1.692,-0.2615
"51",33.51,1.817,3.938,3.963,3.029,2.499,3.132,4.146,2.779,2.547,1.866,2.261,1.443,-180.2,21.46,5.926,3.309,0.3188,0.08795,1.28,1.642,-1.614,-1.53,1.337,-1.846,-0.3347
"52",47.63,2.435,3.583,3.799,3.321,2.822,2.657,3.973,2.377,2.085,1.856,2.291,1.538,-190.8,20.55,5.35,2.611,-1.345,-0.653,2.589,2.934,-0.6419,-1.147,1.871,-1.821,-0.5834
"53",38,3.024,4.308,4.043,4.021,3.763,2.881,4.122,2.674,2.394,2.217,2.703,1.544,-196.2,20.41,5.702,2.926,-0.605,-0.03303,2.558,2.169,-1.114,-1.781,1.672,-1.297,-0.2241
"54",41.17,2.242,4.529,3.738,4.876,4.348,3.315,3.539,2.818,2.14,2.081,3.089,1.516,-182.3,21.29,7.611,3.739,-2.889,-2.236,3.275,2.366,0.2522,-0.9279,2.33,-3.001,-0.7152
"55",44.62,1.583,3.787,3.815,3.62,3.384,3.384,3.126,2.805,2.166,2.114,2.487,1.356,-178.5,21.25,5.519,2.373,-0.6023,-1.177,1.149,1.982,-1.588,-1.1,2.107,-2.203,-0.3303
"56",34.85,3.021,3.604,3.459,3.57,3.155,3.025,3.637,2.677,2.34,2.016,2.193,1.308,-186.3,20.47,5.764,2.633,-1.557,0.1732,4.131,3.851,-1.664,-2.894,2.229,-1.262,-0.4598
"57",37.18,1.604,3.036,3.361,2.434,2.353,2.894,3.238,2.38,2.098,1.641,2.017,1.067,-172.5,21.41,5.404,2.743,0.07634,0.2683,1.994,2.374,-1.92,-2.11,1.317,-1.648,-0.2965
"58",37.15,1.931,4.695,5.221,3.329,3.056,3.056,4.319,3.123,2.204,2.193,2.289,1.357,-168.2,20.75,4.08,0.8859,-0.2756,-0.7885,1.056,3.314,-2.504,-1.374,2.192,-1.9,-0.11
"59",40.3,3.502,3.823,4.383,3.89,3.388,3.137,4.803,2.426,2.265,2.121,2.43,1.458,-191.3,19.68,4.453,1.561,-1.358,-0.6059,2.808,4.12,-0.8479,-1.122,2.24,-1.815,-0.4208
"60",35.06,1.912,3.955,4.222,3.667,3.258,3.272,4.081,2.653,2.351,2.14,2.519,1.505,-185.6,21.07,5.619,2.861,-0.5542,-0.4512,1.94,2.257,-1.018,-1.071,1.989,-1.706,-0.4998
"61",43.91,3.974,5.374,4.767,4.521,3.569,3.178,4.294,3.52,2.858,2.515,2.729,1.649,-190.2,20.67,6.373,3.573,-0.7662,0.1791,2.945,1.604,-1.522,-2.2,2.483,-0.4545,-0.5169
"62",40.32,1.41,3.573,3.8,2.48,2.508,3.113,2.974,2.369,2.161,1.802,2.042,1.26,-172.4,21.33,4.983,2.155,0.4393,-0.2969,0.7365,2.045,-2.239,-1.693,1.141,-2.158,-0.06661
"63",37.84,3.411,5.013,4.921,4.179,3.427,3.239,4.37,2.947,2.355,2.081,2.51,1.517,-186.4,20.51,6.277,2.4,-3.621,-2.303,3.676,3.584,-0.8213,-1.903,2.658,-2.709,-0.06295
"64",38.81,3.066,4.293,4.52,3.038,2.645,2.607,4.215,2.816,2.251,2.112,2.441,1.446,-178.2,20.33,4.402,2.146,0.7341,0.892,1.892,2.649,-1.588,-1.382,1.693,-0.5144,-0.5412
"65",34.93,1.846,3.048,3.051,2.974,2.577,2.604,3.148,2.443,2.275,2.133,2.096,1.513,-195,21.32,6.492,3.939,-0.314,0.0766,2.406,1.286,-1.079,-1.627,1.905,-1.031,-0.3528
"66",38.87,4.191,5.24,5.321,3.467,3.056,3.478,4.99,3.927,3.049,2.295,2.784,1.668,-186.9,19.33,4.435,1.742,-0.4186,0.7679,3.274,3.98,-2.072,-2.474,1.841,-0.8481,-0.6594
"67",52.75,1.699,2.849,2.788,2.227,2.023,2.32,2.165,2.053,1.772,1.7,1.69,1.22,-186.3,21.45,5.796,3.489,0.3546,0.1462,1.452,1.264,-0.7841,-0.93,1.424,-1.269,-0.1323
"68",35.01,1.747,3.457,3.751,4.157,4.164,2.669,3.335,2.185,2.083,2.423,2.63,1.579,-177.9,21.01,5.297,2.257,-0.9297,-1.167,1.655,2.295,-1.073,-0.7589,2.291,-1.862,-0.09003
"69",33.42,1.652,3.235,3.397,3.573,3,3.189,4.018,2.175,2.015,2.096,2.304,1.449,-177.5,21.14,5.009,2.159,-0.5239,-0.5582,1.855,3.038,-1.752,-1.618,1.673,-2.4,-0.5337
"70",49.57,2.927,4.373,4.52,2.597,2.254,3.278,4.975,2.974,2.682,1.889,2.217,1.45,-182.5,20.39,4.514,2.176,0.4702,0.8903,2.215,3.306,-2.046,-1.969,1.584,-1.099,-0.4503
"71",42.67,2.777,4.191,4.66,3.175,3.172,2.976,4.066,3.124,2.357,1.934,2.305,1.233,-184.4,20.59,6.098,3.937,0.8407,1.503,2.554,1.366,-0.5487,-1.656,1.06,-0.2469,-0.1489
"72",41.23,1.359,3.662,3.631,3.175,2.63,3.1,3.069,2.413,1.895,1.687,2.119,1.227,-167.5,21.74,6.166,3.374,-0.6182,-0.5868,2.027,2,-0.7147,-1.035,1.672,-2.132,-0.517
"73",50.32,4.03,4.424,4.323,3.56,3.672,3.567,4.682,3.041,3.038,1.969,2.779,1.555,-196.7,19.27,5.174,2.682,0.3006,2.226,4.614,3.908,-1.925,-3.324,1.664,0.156,-0.9581
"74",36.58,2.575,3.684,4.359,3.966,3.714,2.954,4.713,2.864,2.392,2.413,2.718,1.631,-195.8,20.28,5.561,2.641,-1.183,-0.6754,2.711,2.997,-0.4384,-0.9246,2.242,-1.651,-0.4198
"75",50.43,2.681,3.834,4.153,4.215,3.647,3.314,4.4,2.644,2.209,2.154,2.655,1.54,-185.5,20.33,5.032,1.829,-2.249,-1.697,2.948,4.147,-0.854,-1.108,2.394,-2.85,-0.8952
"76",33.88,2.51,3.828,4.055,3.615,3.009,3.311,4.954,2.707,2.356,2.185,2.498,1.594,-188.1,20.64,5.469,2.849,-1.035,0.001655,3.284,3.529,-1.32,-2.207,1.707,-1.936,-0.443
"77",33.14,2.062,3.825,4.128,3.901,3.657,2.786,3.855,2.794,2.349,2.424,2.702,1.539,-182.1,21.06,5.584,2.717,-0.9225,-0.9209,1.7,2.114,-0.9302,-0.9847,1.907,-2.071,-0.1463
"78",28.63,2.089,3.822,4.03,3.142,3.292,3.184,3.358,2.483,2.789,2.361,2.637,1.582,-198,20.2,4.33,1.721,-0.2646,-0.8104,0.6441,2.19,-0.8753,-0.2801,1.238,-2.169,-0.4126
"79",38.35,1.776,3.28,3.326,3.464,3.339,2.867,3.654,2.337,1.883,1.773,2.625,1.532,-178.2,20.77,4.278,1.793,-0.1001,-0.5441,1.063,2.965,-1.356,-0.9296,1.742,-2.087,-0.4302
"80",67.14,5.198,4.264,3.973,3.271,2.832,2.163,2.355,1.914,1.424,1.526,1.662,1.117,-262.3,15.26,8.687,6.674,3.059,3.207,3.773,-0.4575,2.016,-0.79,0.02179,0.4013,-0.5067
"81",38.45,2.722,4.143,4.275,3.564,3.342,3.577,4.507,2.654,2.28,2.362,2.533,1.638,-186.9,20.41,5.513,2.84,-1.244,-0.2631,3.777,4.096,-0.4215,-1.542,1.934,-2.341,-0.9285
"82",27.59,2.917,4.806,4.929,3.388,2.84,3.118,4.673,3.044,2.523,2.296,2.39,1.622,-214.3,19.63,5.272,2.624,-0.4646,0.6633,3.084,2.673,-1.458,-2.218,1.926,-0.3074,-0.4836
"83",38.38,2.284,3.518,3.679,4.652,4.259,2.76,4.167,2.658,2.135,2.141,3.167,1.623,-187.5,20.6,6.002,3.175,-1.163,-0.6523,2.644,2.869,0.2647,-0.6317,1.682,-2.134,-0.6629
"84",43.12,2.438,4.007,4.061,4.279,3.77,3.053,4.095,2.861,2.373,2.101,2.983,1.475,-180.4,20.64,5.202,1.894,-1.28,-1.182,2.001,3.376,-1.408,-1.581,1.751,-2.527,-0.3166
"85",34.03,3.927,5.337,5.068,3.76,3.723,2.93,4.496,3.064,2.413,2.205,2.755,1.468,-191.1,19.25,3.311,1.272,1.038,1.416,1.99,3.252,-1.734,-1.337,1.736,0.03887,-0.7439
"86",36.31,2.087,3.746,3.652,3.906,3.983,2.752,3.358,2.578,2.532,2.705,2.671,1.673,-179.7,21.23,6.738,3.413,-1.854,-1.958,2.039,1.495,-0.05492,-0.2889,2.732,-2.287,-0.2376
"87",49.2,3.815,4.934,4.639,4.441,3.966,2.867,4.201,3.186,2.434,2.199,2.802,1.521,-199.3,18.85,3.705,2.108,2.328,2.965,2.855,3.13,-1.851,-2.443,0.9015,0.5686,-0.7758
"88",43.35,3.223,4.574,4.83,3.481,3.123,3.147,5.457,3.029,2.506,2.171,2.617,1.58,-194.7,19.74,4.669,2.212,-0.8147,0.4446,3.424,4.4,-1.137,-2.09,1.57,-1.874,-0.7661
"89",32.12,1.973,3.625,4.021,3.866,3.194,3.031,4.77,2.754,2.351,2.15,2.777,1.572,-180.6,21.03,5.694,3.01,-0.9062,-0.3446,2.628,2.937,-1.126,-1.647,1.842,-2.021,-0.676
"90",33.44,3.315,5.026,5.153,3.707,3.319,2.927,4.7,3.876,2.568,1.927,3.202,1.485,-183.4,20.14,4.331,2.092,1.535,1.428,1.304,2.444,-2.269,-1.808,1.109,-0.2786,-0.4343
"91",34.21,2.989,4.534,4.012,4.824,3.53,3.193,3.302,2.892,2.474,2.063,3.112,1.625,-184,20.3,4.197,2.247,2.346,1.72,0.7425,1.927,-2.285,-1.299,1.109,0.1753,-0.5115
"92",35.27,2.413,4.131,3.864,3.633,3.354,2.978,4.399,2.319,2.289,1.928,2.667,1.453,-177,21.29,6.14,3.05,-1.615,-1.172,2.453,2.41,-1.137,-1.829,2.07,-2.536,-0.3261
"93",45.65,3.087,3.837,4.419,4.285,3.876,2.949,4.679,3.143,2.554,2.617,2.834,1.652,-201.7,19.48,4.938,1.504,-2.453,-1.277,3.943,5.026,-0.8881,-1.687,2.388,-2.743,-1.155
"94",43.47,2.86,4.389,4.367,2.863,2.515,3.187,4.475,2.615,2.189,1.935,2.194,1.472,-191.5,20.06,5.113,2.64,-0.417,0.6321,3.332,3.825,-0.755,-1.718,1.219,-1.844,-0.8898
"95",29.29,2.838,4.844,5.347,4.473,4.316,3.218,5.291,2.934,2.47,2.689,2.998,1.774,-173.4,19.94,3.695,0.2287,-1.787,-1.525,2.405,5.073,-2.2,-1.516,2.87,-2.53,-0.5331
"96",31.35,3.342,5.298,5.038,3.938,3.542,3.544,4.709,3.039,2.772,2.194,2.568,1.627,-182.2,19.83,3.871,0.8362,-0.8964,-0.01909,2.516,4.667,-2.078,-2.006,1.87,-1.764,-0.3428
"97",33.66,3.283,4.763,5.206,3.687,3.007,3.295,5.255,3.285,2.786,2.21,2.489,1.647,-191,19.83,4.681,2.156,-0.3005,0.6151,2.569,3.117,-1.801,-2.071,1.831,-0.7692,-0.427
"98",43.06,2.814,3.669,3.591,3.586,3.277,3.09,3.108,2.698,2.142,1.901,2.445,1.235,-196,20.38,6.447,4.147,0.1315,0.9064,3.067,1.677,0.1926,-1.265,1.126,-0.8807,-0.518
"99",47.94,1.93,3.629,3.995,3.32,2.879,2.901,3.584,2.333,1.874,2.086,2.312,1.324,-173.2,21.07,4.836,2.64,0.6754,0.2059,1.092,2.285,-0.8631,-0.5376,1.224,-1.71,-0.2918
"100",31.78,2.569,4.348,4.338,4.076,3.492,3.028,4.784,2.79,2.4,2.375,2.37,1.74,-180.4,21.06,5.717,2.584,-1.803,-1.262,2.521,2.967,-1.303,-1.551,2.481,-2.317,-0.5841
"101",47.25,4.115,3.986,3.862,3.441,3.602,3.522,3.867,3.031,2.661,1.874,2.66,1.35,-201.7,18.68,4.946,3.164,2.125,3.068,3.561,2.882,-0.8056,-2.162,0.5153,0.1995,-0.5714
"102",36.9,2.838,4.053,4.566,3.553,2.802,3.129,5.067,2.818,2.298,1.932,2.272,1.439,-190.9,20.23,5.295,2.589,-1.253,-0.1446,3.062,3.336,-1.044,-1.699,2.151,-1.307,-0.2695
"103",33.95,2.098,3.883,4.03,3.102,2.934,2.613,3.898,3.196,2.213,2.008,2.442,1.488,-189.7,21.19,6.489,3.809,-0.6074,0.05622,2.472,1.299,-1.173,-1.827,2.059,-0.6672,-0.2913
"104",45.27,3.483,5.073,5.112,3.803,3.281,3.277,4.981,3.417,2.872,2.306,2.484,1.701,-188.1,19.85,4.686,1.79,-1.032,0.3866,3.442,4.019,-1.916,-2.32,2.476,-0.7272,-0.4304
"105",34.93,3.256,4.538,4.759,2.9,2.691,3.173,4.668,2.967,2.785,2.062,2.433,1.324,-183.3,20.25,5.081,2.835,0.605,1.536,3.042,2.917,-1.892,-2.622,1.265,-0.6172,-0.4974
"106",38.81,3.018,4.069,3.984,4.191,4.267,2.717,3.568,3.015,2.652,2.257,2.684,1.754,-195.1,20.32,6.305,2.761,-2.46,-1.94,2.562,2.472,-0.1285,-0.6941,2.403,-2.166,-0.09712
"107",39.68,3.647,4.067,4.052,2.998,2.771,3.354,4.884,3.067,3.02,1.872,2.346,1.521,-190,18.95,3.743,1.159,-0.09577,1.517,3.558,5.192,-2.268,-2.983,1.118,-1.245,-0.6221
"108",42.83,4.734,4.245,4.304,3.244,3.355,3.378,4.624,3.064,3.008,2.113,2.599,1.411,-201.3,18.19,4.014,1.488,0.6106,2.325,4.156,4.804,-1.781,-2.627,1.608,0.1466,-0.5029
"109",53.91,4.38,4.261,4.452,2.82,2.837,3.498,4.89,2.874,2.534,1.894,2.462,1.432,-195.6,18.48,3.248,1.063,0.7166,1.965,3.48,4.665,-1.739,-2.156,1.715,-0.2135,-0.924
"110",36.77,1.563,3.866,3.49,3.69,3.355,2.996,3.501,2.717,2.033,1.907,2.628,1.378,-178.8,21.77,7.127,4.139,-1.259,-0.8463,2.629,1.679,-0.1076,-1.122,1.73,-2.305,-0.4265
"111",37.46,2.596,3.782,3.871,4.472,4.131,3.069,4.475,2.954,2.358,2.432,3.199,1.737,-185.2,20.78,6.614,2.766,-2.881,-1.934,3.309,3.138,-0.8689,-1.667,2.776,-2.393,-0.3402
"112",28.93,2.461,3.708,4.343,4.572,3.96,3.228,4.773,2.654,2.555,2.507,2.801,1.63,-191.8,20.41,5.479,1.979,-2.595,-1.906,2.803,3.445,-1.3,-1.63,2.672,-2.376,-0.3356
"113",47.23,1.506,3.171,3.197,1.989,1.995,2.356,2.423,2.135,1.745,1.576,1.719,1.184,-191.8,21.61,6.508,4.247,0.01771,0.3435,2.224,1.079,-0.3768,-1.195,1.13,-1.367,-0.4095
"114",43.87,2.266,3.331,3.178,2.362,2.223,2.451,2.92,2.333,1.976,1.798,1.916,1.232,-200.6,20.98,7.035,4.596,-0.155,0.4516,2.683,0.956,-0.06784,-1.36,1.152,-1.174,-0.3805
