"","MFCC Overall Standard Deviation0","MFCC Overall Standard Deviation1","MFCC Overall Standard Deviation2","MFCC Overall Standard Deviation3","MFCC Overall Standard Deviation4","MFCC Overall Standard Deviation5","MFCC Overall Standard Deviation6","MFCC Overall Standard Deviation7","MFCC Overall Standard Deviation8","MFCC Overall Standard Deviation9","MFCC Overall Standard Deviation10","MFCC Overall Standard Deviation11","MFCC Overall Standard Deviation12","MFCC Overall Average0","MFCC Overall Average1","MFCC Overall Average2","MFCC Overall Average3","MFCC Overall Average4","MFCC Overall Average5","MFCC Overall Average6","MFCC Overall Average7","MFCC Overall Average8","MFCC Overall Average9","MFCC Overall Average10","MFCC Overall Average11","MFCC Overall Average12"
"55",10.84,1.161,2.124,2.243,1.737,1.592,1.634,1.829,1.67,1.319,1.149,1.335,0.9453,-195,20.22,3.015,1.954,2.82,2.397,0.5418,2.318,-1.004,-0.24,0.4157,0.4405,-0.6145
"56",8.181,1.297,2.222,2.182,1.777,1.487,1.711,1.733,1.52,1.156,1.206,1.266,0.8755,-209,19.6,2.799,2.232,4.537,3.551,-0.2507,1.357,-0.6804,0.1228,-0.6931,0.7826,-0.962
"57",15.63,1.269,2.331,2.404,1.968,1.634,1.889,1.818,1.796,1.346,1.259,1.327,0.8941,-210.7,20.11,4,2.633,2.054,2.294,1.875,1.697,-0.8033,-1.197,0.6034,0.8355,-0.7754
"58",14.41,1.454,2.715,2.34,1.851,1.549,1.674,1.843,1.727,1.15,1.222,1.296,0.9206,-231,20.05,7.909,5.003,-0.2662,1.485,4.271,0.8682,1.391,-1.242,0.8759,0.3419,-0.7898
"59",12.58,1.086,1.837,2.039,1.614,1.561,1.502,1.738,1.677,1.189,1.219,1.264,0.9585,-199.3,19.94,2.299,1.396,3.322,2.305,-0.4448,2.369,-0.7092,0.5717,-0.2013,-0.1344,-0.6888
"60",17.63,1.364,3.012,3.262,1.841,1.916,2.162,2.258,2.001,1.205,1.294,1.438,0.9813,-215.7,21.69,7.604,5.189,-0.1281,-0.06109,1.631,-0.7991,0.4268,-0.8167,1.056,-1.107,0.1954
"61",13.41,1.339,2.776,2.959,2.326,2.123,2.086,2.697,2.087,1.625,1.696,1.594,1.178,-201.3,20.73,4.142,1.184,-0.4053,0.03069,2.369,3.832,-2.207,-1.965,1.965,-1.282,-0.838
"62",15.71,1.294,2.352,2.352,1.878,1.61,1.825,1.869,1.651,1.416,1.253,1.331,1.093,-203.5,21.34,5.651,3.739,0.2507,0.2473,1.433,0.6218,-0.04369,-0.5997,0.8315,-1.028,-0.1662
"63",16.45,1.067,1.934,2.12,1.582,1.526,1.594,1.597,1.518,1.192,1.195,1.411,0.9228,-192.8,21.37,4.662,2.063,-0.07058,0.2516,2.084,2.573,-2.599,-2.166,2.056,-0.682,-0.6791
"64",14.21,1.913,3.085,3.095,2.018,1.464,2.222,2.083,1.886,1.351,1.14,1.299,0.921,-238.7,19.38,8.996,5.418,0.9109,2.084,4.129,-0.3601,0.616,-1.809,0.5328,1.159,-0.9522
"65",12.86,1.961,2.935,2.609,1.881,1.682,1.698,1.992,1.75,1.195,1.27,1.371,0.9531,-227.8,20.91,8.29,5.229,-0.9764,-0.08502,2.974,-0.1643,0.9667,-0.8461,0.9748,-0.754,-0.3935
"66",8.425,1.195,2.039,2.092,1.699,1.433,1.645,1.66,1.46,1.174,1.072,1.296,0.8649,-209.4,19.86,3.065,2.21,4.003,3.366,0.5676,1.882,-1.029,-0.4542,-0.09764,0.9441,-1
"67",17.39,1.364,3.072,2.811,1.692,1.619,1.698,2.031,1.872,1.201,1.204,1.298,0.8471,-222.7,21.51,8.284,5.208,-0.7073,-0.4948,1.805,-0.7902,0.3728,-0.7372,0.8628,-1.371,-0.04586
"68",12.65,1.282,2.305,1.967,2.087,1.711,1.743,1.782,1.515,1.331,1.275,1.332,0.8855,-207.9,21.84,7.131,4.822,-1.042,0.03075,3.055,0.7764,0.4247,-1.315,1.176,-1.349,-0.3426
"69",13.73,1.249,2.723,2.513,1.871,1.367,1.937,1.985,1.642,1.339,1.11,1.117,0.8615,-218.4,21.29,6.401,3.869,-0.06874,0.3902,2.535,1.354,-0.0598,-0.9339,0.8964,-1.101,-0.6265
"70",14.01,1.468,2.787,2.754,1.978,1.78,1.837,2.329,1.663,1.326,1.321,1.208,1.234,-214.2,19.92,3.031,1.011,1.939,1.642,1.253,2.688,-2.307,-1.507,1.19,0.6003,-0.5915
"71",10.23,1.335,2.272,2.351,1.903,1.702,1.775,2.277,1.61,1.422,1.345,1.469,0.9638,-207.9,20.47,4.176,1.596,-0.7501,0.3418,3.198,3.744,-1.71,-2.151,1.763,-0.832,-1.076
"72",13.77,1.583,3.058,2.973,2.191,1.757,1.963,2.298,1.884,1.332,1.345,1.274,0.8961,-224.9,20.68,6.95,4.045,-0.488,0.4843,3.231,0.8645,-0.2083,-1.511,1.363,-0.07826,-0.4748
"73",12.71,1.539,2.255,2.068,1.97,1.404,1.628,1.761,1.49,1.17,1.143,1.227,0.8516,-222.5,19.98,4.706,2.3,0.9273,1.438,2.61,2.02,-1.278,-1.915,1.037,0.4062,-0.4806
"74",20.28,1.933,3.93,3.546,2.418,2.128,2.061,3.198,2.232,1.432,1.563,1.628,1.013,-230.7,19.24,6.347,2.754,-0.1269,0.7827,3.193,2.277,-0.742,-1.743,1.048,-0.4959,-0.8949
"75",17.94,2.02,2.921,2.809,2.606,2.112,2.055,2.053,1.763,1.307,1.419,1.574,0.9305,-232.9,20.12,7.847,4.463,-0.1878,0.5957,3.085,0.1252,0.1721,-1.362,1.064,-0.1027,-0.5894
"76",16.73,1.554,2.81,2.527,1.98,1.606,1.869,1.965,2.046,1.224,1.281,1.325,0.9401,-227.7,19.55,5.583,2.893,0.7285,1.426,2.827,1.564,0.01126,-1.088,1.162,0.6548,-0.8541
"77",17.06,2.164,2.579,2.125,2.329,1.938,1.768,2.003,1.668,1.294,1.455,1.45,1.655,-233.5,20.53,13.04,9.451,0.1789,2.287,4.21,-3.446,3.046,-1.043,0.0184,0.9541,-0.09052
"78",15,1.474,3.065,2.897,1.687,1.598,1.888,2.272,2.001,1.294,1.17,1.265,0.9001,-232.9,20.27,8.46,5.19,-0.2607,1.028,3.876,0.2598,1.095,-1.312,0.4655,-0.2548,-0.7487
"79",21.1,1.54,2.677,2.628,2.115,1.681,1.93,1.98,1.659,1.325,1.294,1.472,0.9685,-225,20.15,6.029,3.609,1.295,1.984,3.372,1.552,-0.7445,-1.841,1.052,0.4784,-1.128
"80",11.25,1.351,2.834,2.973,2.056,1.647,2.265,2.439,2.086,1.448,1.303,1.341,0.903,-207.8,20.72,4.782,3.06,1.768,1.961,2.007,1.411,-1.319,-1.568,1.025,0.5515,-0.5689
"81",16.14,2.324,4.508,3.842,2.943,2.157,2.201,3.199,2.15,1.691,1.436,1.974,1.118,-223.2,21.16,9.563,6.582,-0.391,0.9146,3.979,-0.589,0.7688,-1.56,1.141,-0.1865,-0.7701
"82",13.77,1.762,2.406,2.14,1.973,1.537,1.613,1.644,1.377,1.215,1.085,1.282,0.8103,-238.3,19.42,5.833,1.901,0.889,0.9435,2.915,2.356,-1.635,-2.083,1.172,-0.1627,-0.4873
"83",13.23,1.767,2.776,2.666,2.18,1.543,1.892,2.037,1.853,1.118,1.242,1.217,0.8705,-236.5,19.06,7.245,5.184,3.243,3.369,2.227,-0.9928,1.821,-0.5082,-0.1922,1.347,-0.805
"84",14.69,1.503,3.106,3.013,2.141,1.7,1.843,2.442,2.192,1.123,1.312,1.244,0.8792,-232.2,19.59,7.316,5.226,2.083,2.862,3.07,-0.2424,1.405,-0.7905,0.38,1.073,-0.9616
"85",18.76,1.748,3.351,3,2.142,1.95,1.88,2.287,1.937,1.322,1.412,1.443,0.8822,-232.6,20.61,10.81,6.582,-2.377,-0.8653,3.878,-0.6335,1.908,-0.5349,0.8407,-1.133,-0.4387
"86",13.74,1.555,2.632,2.697,2.045,1.645,1.964,2.091,1.911,1.241,1.345,1.503,0.8323,-220,19.06,4.243,3.252,4.512,4.217,1.907,0.7087,-0.3541,-1.037,-0.05951,2.085,-1.478
"87",11.56,1.332,2.378,2.263,1.992,1.529,1.75,1.808,1.544,1.176,1.27,1.253,0.8882,-205,20.91,4.909,3.188,1.142,1.761,2.634,1.806,-1.308,-1.807,1.24,0.4033,-0.8148
"88",14.68,1.465,2.863,2.419,1.672,1.567,1.966,1.792,1.692,1.245,1.205,1.337,0.9213,-226.3,21.44,10.87,8.131,-0.7291,0.979,4.156,-2.091,2.231,-1.14,0.3875,-0.2395,-0.515
"89",25.11,1.883,3.735,3.272,2.075,1.786,2.056,2.292,1.93,1.402,1.468,1.425,0.9851,-225.1,20.83,8.827,4.633,-2.137,-1.541,2.55,0.02872,0.09873,-1.035,1.315,-1.788,-0.2981
"90",11.85,1.676,3.249,2.736,1.74,1.386,2.039,1.953,1.902,1.118,1.07,1.171,0.8173,-233.7,21.04,14.48,11.32,0.4445,2.647,5.207,-4.128,3.654,-1.11,-0.2793,0.7626,-0.5733
"91",17.84,1.727,2.815,2.51,2.863,2.398,1.986,2.024,1.763,1.431,1.779,1.693,0.9921,-219.4,21.03,7.48,4.937,-0.7097,0.1562,2.716,-0.3713,0.4268,-1.224,1.282,-0.4336,-0.4172
"92",11.14,1.595,2.507,2.432,2.06,1.655,1.76,1.9,1.804,1.224,1.253,1.363,0.8562,-228,18.81,5.12,3.608,2.491,3.408,3.588,1.174,0.5814,-1.644,0.5448,1.757,-1.205
"93",12.31,1.502,2.572,2.336,2.269,1.632,1.689,2.049,1.545,1.245,1.227,1.473,0.8747,-216.8,20.25,5.854,4.364,1.736,2.766,3.405,0.5389,-0.2333,-2.026,0.6013,1.355,-1.209
"94",11.1,1.806,2.624,2.252,1.85,1.419,1.68,1.751,1.529,1.115,1.061,1.053,0.8145,-239.1,19.35,7.864,4.316,0.6689,1.669,3.65,0.6553,0.7638,-1.207,0.607,0.747,-0.8036
"95",22.98,2.008,3.27,3.004,1.976,1.97,2.174,2.028,2.179,1.234,1.296,1.552,0.8633,-235,19.52,8.302,4.463,-0.3904,0.4306,2.937,0.3528,0.7737,-0.8087,0.6572,-0.3891,-0.5073
"96",14.97,1.418,2.888,3.026,1.81,1.567,1.756,2.384,2.153,1.308,1.374,1.474,0.8743,-196,21.09,4.559,2.303,0.04813,0.8948,2.861,3.08,-1.806,-1.929,2.117,0.01233,-0.6928
"97",15.53,1.93,3.214,2.655,2.086,1.807,1.798,2.142,1.87,1.318,1.483,1.368,0.9102,-237.4,20.02,10.87,6.108,-2.66,-0.6679,4.607,0.3747,1.64,-0.9513,0.7679,-1.048,-0.6244
"98",12.29,1.252,2.589,2.694,2.026,1.858,1.881,2.473,2.085,1.617,1.707,1.606,1.66,-203.9,20.5,4.085,2.438,1.618,0.5731,-0.4053,0.9771,-0.7472,0.1814,0.3225,-1.283,-0.1736
"99",13.76,1.177,1.991,1.897,1.922,1.776,1.553,1.633,1.396,1.238,1.21,1.395,0.8982,-191.7,22,6.618,4.403,-0.6811,0.6282,3.526,1.394,-0.7523,-2.295,1.838,-0.4249,-0.2726
"100",13.63,2.37,2.792,2.526,1.805,1.614,1.609,1.677,1.588,1.142,1.27,1.319,0.8366,-254.7,17.51,9.516,4.921,1.513,1.637,2.855,-0.2298,1.267,-0.533,0.1441,0.2444,-0.7766
"101",22.14,1.607,2.138,1.953,2.33,1.818,1.56,1.761,1.895,1.366,1.528,1.335,0.8617,-219.8,20.07,6.61,4.961,1.759,2.437,3.014,-0.3036,0.389,-1.545,0.409,1.063,-1.059
"102",17.56,1.23,3.008,3.134,1.732,1.513,2.191,2.182,1.999,1.311,1.306,1.122,0.9203,-203.8,21.37,5.921,3.984,0.7774,1.416,2.669,1.221,-0.7981,-1.346,1.623,0.302,-0.8428
"103",14.13,1.411,2.132,2.117,2.155,1.655,1.811,1.573,1.426,1.267,1.407,1.215,0.8842,-233.5,19.68,5.284,3.153,3.239,2.839,2.173,1.162,-0.5093,-1.284,0.4144,0.7962,-0.7699
"104",14.77,1.477,2.387,2.139,2.071,1.701,1.792,2.004,1.778,1.251,1.274,1.262,0.8815,-226.7,19.55,6.368,4.478,1.603,2.821,3.68,0.4057,0.6016,-1.777,0.3561,1.202,-1.119
"105",11.93,1.885,2.8,2.381,2.175,1.721,1.944,1.695,1.867,1.268,1.205,1.282,0.9878,-236.5,18.89,6.97,4.315,1.636,2.854,3.991,0.6582,0.9583,-1.584,0.7147,1.789,-0.8977
"106",17.05,1.587,2.608,2.671,2.343,1.909,1.782,2.094,1.851,1.282,1.251,1.61,0.9831,-203.7,20.29,4.586,3.585,3.336,3.065,1.464,0.5226,-1.049,-1.108,0.4774,1.395,-1.196
"107",12.69,1.771,2.923,2.731,1.977,1.67,1.734,1.862,1.724,1.21,1.23,1.36,0.918,-240.5,20.03,9.944,5.772,-0.7316,0.3066,3.359,-0.375,1.436,-0.5281,0.5747,-0.52,-0.4705
"108",22.4,1.529,3.764,3.709,2.046,1.974,2.279,2.62,2.126,1.614,1.315,1.553,1.069,-209.2,21.38,6.983,4.113,-1.009,-1.084,1.373,-0.2855,-0.0337,-0.6007,1.402,-1.667,0.05592
"109",12.08,1.219,2.525,2.746,1.482,1.593,1.994,1.838,2.124,1.191,1.195,1.231,0.9212,-209.5,21.23,6.908,5.707,1.036,1.635,2.19,-0.5112,1.964,-0.06726,0.3551,-0.2362,-0.3272
"110",18.36,1.408,2.741,2.761,1.98,1.868,1.8,2.085,1.934,1.248,1.352,1.398,0.946,-220.5,20.7,6.213,3.718,0.01651,0.5049,2.597,1.171,0.3046,-0.8528,0.9312,-0.7543,-0.5117
"111",10.71,1.575,2.745,2.742,1.916,1.48,1.932,2.087,1.809,1.275,1.097,1.489,1.077,-217.6,20.08,4.869,3.486,2.157,2.506,2.196,1.148,-0.1006,-1.107,0.3741,0.7245,-0.8664
"112",11.59,1.614,2.612,2.215,1.741,1.454,1.626,1.862,1.646,1.209,1.064,1.3,0.9202,-232,19.87,6.762,3.967,0.705,1.688,3.486,0.9085,0.3441,-1.51,0.8126,0.7359,-0.7779
"113",10.86,1.421,2.424,2.267,1.948,1.818,1.669,1.934,1.521,1.236,1.349,1.244,0.9381,-220.8,21.1,7.447,5.239,0.02029,1.187,3.367,-0.008353,0.3307,-1.598,0.9241,0.09111,-0.6542
"114",12.13,2.262,3.303,2.864,2.347,1.915,1.752,2.05,1.82,1.159,1.156,1.358,0.9618,-251,18.46,12.48,6.752,-1.037,-0.3782,2.633,-1.203,1.881,0.2653,0.02082,-0.8896,-0.3369
